firmid,shutdown,newproduct,gender,age,education_college,num_clients,num_supplier,bankloan,round,polconnection,labor,part5revenue,material_cost,total_profit,total_fixedassets,wage_cost,type,lnlabor,lnpart5revenue,lnmaterial_cost,lnwage_cost,lnnum_supplier,lnnum_clients,firmage,baselabor,survey_town_type,treatratio_comp,post,tradecredit_supplier,tradecredit_client,otherloan_amount,retail,lnsales2,lnrent,ad_cost,rennovation,industry,newloan,stock_frequency,treatratio_lcomp,treatratio_lnoncomp,lcompnum,treatratio_nonlcomp,treatratio_nonlnoncomp,newsupplier,category,lnprice,stockmanage,shareeducl,coneval_squality,coneval_env,coneval_money,coneval_all,selleradvice,bankloan_amount,bankloan_interest,RCC_amount,flagatt,shutdownall,endatt,otherloan_end,allloan_end,aallloan_end,T50,C50,T80,C80,lnsalesdif,finknowledge,difficultyloan,shut_part5revenue,shut_total_profit,shut_labor,dummy_lcomp,dummy_lnoncomp,dummy_nonlcomp,dummy_nonlnoncomp,marketcategory,_Ibasecount_2,_Ibasecount_3,_Ibasecount_4,_Ibasecount_5,_Ibasecount_6,_Ibasecount_7,_Ibasecount_8,_Ibasecount_9,_Ibasecount_10,_Ibasecount_11,basecounty,survey_town
114,0,0,0,32,0,60,1,0,2,,15,410.10001,178.67,121.38,1.2,27.00000107288361,1,2.7080503,6.0164008,5.1855407,3.2958369,0,4.0943446,,12,2,.77142859,1,0,0,21.00201,1,,.54695362,0,0,1,1,,1,1,3,.7647059,.76744187,,4,1.7917595,,,,,,,,,,44,0,0,1,1,1,65.002014,0,0,1,0,,,,410.10001,121.38,15,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
114,0,0,0,34,0,157,1,0,3,,11,509.88,247.95,178.70601,15,19.80000078678131,1,2.3978953,6.2341752,5.513227,2.985682,0,5.0562458,,12,2,.77142859,1,0,1,21.00201,1,6.2341752,.95241863,0,0,1,1,.5,1,1,3,.7647059,.76744187,0,4,1.7917595,1,,,,,,,,,44,0,0,1,1,1,65.002014,0,0,1,0,0,1,.25,509.88,178.70601,11,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
115,0,0,1,44,0,20,1,1,1,0,7,220,143,55,12,9.099999666213989,0,1.9459101,5.3936276,4.9628448,2.2082744,0,2.9957323,5,7,2,.83333331,0,0,0,65,1,,2.5649493,0,0,2,1,,1,1,3,.77272725,.77528089,,4,1.0986123,,,,,,,,18,9,23,0,1,1,0,1,23,0,0,0,1,,,,220,55,7,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
115,0,0,1,40,0,16,1,0,2,,4,109.62,17.5,33.5,7.5,5.600000023841858,0,1.3862944,4.6970201,2.862201,1.7227666,0,2.7725887,,7,2,.83333331,1,0,0,0,1,,2.9123507,0,0,2,1,,1,1,3,.77272725,.77528089,,4,1.0986123,,,,,,,,,,23,0,1,1,0,1,23,0,0,0,1,,,,109.62,33.5,4,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
115,1,0,,,,10,1,0,3,,3,71.218201,11.14,-3.54,0,4.200000017881393,0,1.0986123,4.2657485,2.4105422,1.4350846,0,2.3025851,,7,2,.83333331,1,0,0,0,1,4.293601,.74336779,0,0,2,1,6,1,1,3,.77272725,.77528089,0,4,,0,,,,,,,,,23,0,1,1,0,1,23,0,0,0,1,-6.2088833,.80000001,.25,71.218201,-3.54,3,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
116,0,0,1,36,0,39,1,0,1,0,3,300,210,14,0,3.299999982118607,1,1.0986123,5.7037826,5.3471074,1.1939225,0,3.6635616,7,3,2,.75,0,0,0,0,1,,2.0794415,0,0,2,0,,.66666669,1,3,.77272725,.77528089,,4,2.0794415,,,3,4,4,3,0,,,,0,0,0,0,0,,0,0,1,0,,,,300,14,3,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
116,0,0,1,37,0,32,1,0,2,,6,505.10944,350.14999,17.559999,4.5,7.199999839067459,1,1.7917595,6.2247753,5.8583617,1.974081,0,3.4657359,,3,2,.75,1,0,0,0,1,,1.4632443,0,0,2,0,,.66666669,1,3,.77272725,.77528089,,4,2.0794415,,,3,4,4,3,0,,,,0,0,0,0,0,,0,0,1,0,,,,505.10944,17.559999,6,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
116,0,0,0,40,0,59,1,0,3,,4,495.69785,342.87399,23.17,6.6599998,4.799999892711639,1,1.3862944,6.2059665,5.8373632,1.5686159,0,4.0775375,,3,2,.75,1,1,0,0,1,6.2035809,2.4123249,.40000001,1,2,0,1,.66666669,1,3,.77272725,.77528089,0,4,2.0794415,1,1,3,4,4,3,0,,,0,0,0,0,0,0,0,0,0,1,0,0,.2,0,495.69785,23.17,4,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
118,0,0,0,37,1,34,1,1,1,0,6,360,178.8,90.029999,0,11.39999985694885,1,1.7917595,5.8861041,5.1862679,2.4336133,0,3.5263605,4,6,2,.77142859,0,0,0,20,1,,1.2527629,.1,0,1,0,,.5,0,3,.78676468,.77272725,,4,1.9459101,,,2,1,2,3,0,20,11,,0,0,0,0,0,,0,0,1,0,,,,360,90.029999,6,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
118,0,1,0,40,0,41,1,0,2,,8,424.02802,213.64,99.279999,4.5,14.40000057220459,1,2.0794415,6.0497994,5.3642921,2.6672282,0,3.713572,,6,2,.77142859,1,0,0,0,1,,1.7509264,.1,1,1,0,,.5,0,3,.78676468,.77272725,,4,1.9459101,,,2,1,2,3,0,,,,0,0,0,0,0,,0,0,1,0,,,,424.02802,99.279999,8,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
118,0,0,1,35,0,61,1,0,3,,8,428.07599,289.29999,94.529999,9.9200001,14.40000057220459,1,2.0794415,6.0593009,5.6674643,2.6672282,0,4.1108737,,6,2,.77142859,1,0,0,0,1,6.0786667,1.2401007,0,0,1,0,.3,.5,0,3,.78676468,.77272725,0,4,1.9459101,0,0,2,1,2,3,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,.5,428.07599,94.529999,8,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
119,0,0,0,32,0,50,2,1,1,0,9,360,205,76.739998,0,15.30000016093254,0,2.1972246,5.8861041,5.32301,2.7278528,.69314718,3.9120231,4,9,2,1,0,0,1,8,1,,1.329724,0,0,0,0,,.66666669,1,3,1,.7669903,,4,1.3862944,,,3,2,2,3,0,18,9,,0,0,0,1,1,,0,0,0,1,,,,360,76.739998,9,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
119,0,0,1,35,0,44,1,0,2,,10,345.99902,238.96001,85.489998,.30000001,18.00000071525574,0,2.3025851,5.846436,5.4762964,2.8903718,0,3.7841897,,9,2,1,1,0,1,42.127998,1,,1.1403939,0,0,0,0,,.66666669,1,3,1,.7669903,,4,1.3862944,,,3,2,2,3,0,,,,0,0,0,1,1,,0,0,0,1,,,,345.99902,85.489998,10,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
119,0,0,1,39,0,52,1,0,3,,9,315.31409,229.11,105.06,6,16.20000064373016,0,2.1972246,5.7535691,5.4342022,2.7850113,0,3.9512436,,9,2,1,1,0,0,42.127998,1,5.7814217,1.5260563,0,0,0,0,.5,.66666669,1,3,1,.7669903,0,4,1.3862944,0,0,3,2,2,3,0,,,0,0,0,0,1,1,42.127998,0,0,0,1,2,1,.5,315.31409,105.06,9,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
121,0,0,0,43,0,29,1,0,1,0,8,450,261.45999,83.410004,0,17.59999990463257,0,2.0794415,6.1092477,5.5662813,2.8678989,0,3.3672957,3,8,0,0,0,0,0,0,1,,4.2765865,0,0,1,0,,0,0,4,0,0,,4,2.3025851,,,,,,,,,,,0,0,1,0,0,,0,0,0,0,,,,450,83.410004,8,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
121,0,0,0,43,0,44,1,0,2,,6,354.85999,200.00999,73.75,.20999999,13.19999992847443,0,1.7917595,5.8717232,5.2983675,2.5802169,0,3.7841897,,8,0,0,1,0,0,0,1,,.84242892,0,0,1,0,,0,0,4,0,0,,4,2.3025851,,,,,,,,,,,0,0,1,0,0,,0,0,0,0,,,,354.85999,73.75,6,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
121,0,0,1,45,0,42,1,0,3,,9,522.27002,354.16,73.050003,0,19.79999989271164,0,2.1972246,6.2581849,5.8697486,2.985682,0,3.7376697,,8,0,0,1,0,0,0,1,6.2503753,.74526519,0,0,1,0,2,0,0,4,0,0,0,4,2.3025851,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,522.27002,73.050003,9,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
122,0,0,0,47,0,100,2,0,1,0,7,330,110,109.39,0,11.90000012516975,0,1.9459101,5.7990928,4.7004805,2.4765384,.69314718,4.6051702,3,7,0,0,0,0,0,0,1,,1.2527629,0,0,0,0,,0,0,4,0,0,,4,1.0986123,,,,,,,,,,,0,0,1,0,0,,0,0,0,0,,,,330,109.39,7,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
122,0,0,1,52,0,64,5,0,2,,9,410.89001,141.28,141,11,16.20000064373016,0,2.1972246,6.0183258,4.9507437,2.7850113,1.6094379,4.1588831,,7,0,0,1,0,0,0,1,,1.417793,0,0,0,0,,0,0,4,0,0,,4,1.0986123,,,,,,,,,,,0,0,1,0,0,,0,0,0,0,,,,410.89001,141,9,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
122,0,0,1,53,0,94,5,0,3,,10,464.29999,162.89,209.59,.30000001,18.00000071525574,0,2.3025851,6.1405311,5.0930753,2.8903718,1.6094379,4.5432949,,7,0,0,1,0,0,0,1,6.1405311,1.417793,0,0,0,0,.2,0,0,4,0,0,0,4,1.0986123,0,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,.40000001,.5,464.29999,209.59,10,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
123,0,0,0,46,1,4,10,1,1,0,5,360,212,73.459999,180,10.49999967217445,0,1.6094379,5.8861041,5.3565865,2.3513753,2.3025851,1.3862944,13,5,0,0,0,0,0,50,1,,0,0,0,1,0,,0,0,3,0,0,,4,1.3862944,,,2,1,2,2,0,50,11.21,,0,0,0,0,0,,0,0,0,0,,,,360,73.459999,5,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
123,0,0,0,47,0,4,3,1,2,,4,60,42,15.55,37,9.200000166893005,0,1.3862944,4.0943446,3.7376697,2.2192035,1.0986123,1.3862944,,5,0,0,1,0,0,0,1,,0,0,0,1,0,,0,0,3,0,0,,4,1.3862944,,,2,1,2,2,0,,,,0,0,0,0,0,,0,0,0,0,,,,60,15.55,4,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
123,0,0,0,50,0,63,1,0,3,1,6,124.06,86.550003,25.559999,56,13.80000025033951,0,1.7917595,4.8207655,4.4607224,2.6246686,0,4.1431346,,5,0,0,1,0,1,0,1,4.8257957,0,0,0,1,0,.5,0,0,3,0,0,0,4,1.3862944,0,0,2,1,2,2,0,,,0,0,0,0,0,0,0,0,0,0,0,-5.0741367,.60000002,0,124.06,25.559999,6,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
125,0,0,1,43,0,17,1,0,1,0,18,190,121.95,23.58,0,32.40000128746033,0,2.8903718,5.2470241,4.8036113,3.4781585,0,2.8332133,13,5,0,0,0,1,0,0,1,,3.5139163,0,0,1,0,,0,0,3,0,0,,4,1.6094379,,,3,2,2,2,0,,,,0,0,0,0,0,,0,0,0,0,,,,190,23.58,18,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
125,0,0,1,43,0,30,1,0,2,,9,321.91,214.25,49.970001,0,17.09999978542328,0,2.1972246,5.774272,5.3671436,2.8390784,0,3.4011974,,5,0,0,1,1,0,0,1,,3.7030342,0,0,1,0,,0,0,3,0,0,,4,1.6094379,,,3,2,2,2,0,,,,0,0,0,0,0,,0,0,0,0,,,,321.91,49.970001,9,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
125,0,0,1,43,0,30,1,0,3,,9,335.78,220.35001,65.400002,1.5,17.09999978542328,0,2.1972246,5.8164563,5.3952174,2.8390784,0,3.4011974,,5,0,0,1,1,0,0,1,5.8031392,1.5539252,0,0,1,0,.25,0,0,3,0,0,0,4,1.6094379,0,0,3,2,2,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,.2,.5,335.78,65.400002,9,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
126,0,0,0,35,0,10,2,0,1,0,4,245,100,0,2,6.399999856948853,0,1.3862944,5.5012584,4.6051702,1.856298,.69314718,2.3025851,8,4,0,0,0,1,0,0,1,,2.4849067,0,0,2,0,,0,0,2,0,0,,4,1.0986123,,,,,,,,,,,0,0,1,1,1,,0,0,0,0,,,,245,0,4,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
126,0,0,1,37,0,11,2,0,2,,4,253.96001,97.699997,13.5,1.05,6.800000071525574,0,1.3862944,5.5371766,4.5819016,1.9169226,.69314718,2.3978953,,4,0,0,1,1,0,22.272861,1,,.03149873,0,0,2,0,,0,0,2,0,0,,4,1.0986123,,,,,,,,,,,0,0,1,1,1,,0,0,0,0,,,,253.96001,13.5,4,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
126,0,0,1,37,0,12,2,0,3,,4,254.78999,114.45,59.669998,0,6.800000071525574,0,1.3862944,5.5404396,4.7401381,1.9169226,.69314718,2.4849067,,4,0,0,1,1,0,22.272861,1,5.5240898,3.5096874,0,0,2,0,2,0,0,2,0,0,0,4,1.0986123,0,,,,,,,,,0,0,0,1,1,1,22.272861,0,0,0,0,0,.2,0,254.78999,59.669998,4,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
128,0,0,1,38,0,21,3,0,1,0,6,210,119.74,44.509998,0,12.59999960660934,0,1.7917595,5.3471074,4.7853227,2.5336969,1.0986123,3.0445225,14,6,0,0,0,1,0,0,1,,3.3902674,0,0,1,0,,0,0,1,0,0,,4,2.1972246,,,2,1,2,2,0,,,,0,0,0,0,0,,0,0,0,0,,,,210,44.509998,6,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
128,0,0,1,38,0,14,3,0,2,,4,140.97,91.639999,31.23,0,8.799999952316284,0,1.3862944,4.9485469,4.517868,2.1747518,1.0986123,2.6390574,,6,0,0,1,1,0,0,1,,2.8537583,0,0,1,0,,0,0,1,0,0,,4,2.1972246,,,2,1,2,2,0,,,,0,0,0,0,0,,0,0,0,0,,,,140.97,31.23,4,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
128,0,0,1,38,0,20,3,0,3,,5,174.46001,114.86,41.02,19,10.99999994039536,0,1.6094379,5.1616955,4.7437139,2.3978953,1.0986123,2.9957323,,6,0,0,1,1,0,0,1,5.1616955,0,0,0,1,0,.25,0,0,1,0,0,0,4,2.1972246,0,0,2,1,2,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,.5,174.46001,41.02,5,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
129,0,0,0,38,0,44,1,0,1,0,8,350,238.07001,55.049999,0,18.40000033378601,0,2.0794415,5.857933,5.4725647,2.9123507,0,3.7841897,2,8,0,0,0,1,0,0,1,,4.1828699,0,0,1,0,,0,0,4,0,0,,4,1.7917595,,,3,2,2,2,0,,,,0,0,0,0,0,,0,0,0,0,,,,350,55.049999,8,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
129,0,0,0,38,0,39,1,0,2,,7,314.84,214.11,56.560001,11,16.10000029206276,0,1.9459101,5.7520647,5.3664899,2.7788193,0,3.6635616,,8,0,0,1,1,0,0,1,,1.130111,0,0,1,0,,0,0,4,0,0,,4,1.7917595,,,3,2,2,2,0,,,,0,0,0,0,0,,0,0,0,0,,,,314.84,56.560001,7,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
129,0,0,0,40,0,48,1,0,3,,9,395.53,264.73001,90.160004,.85000002,20.70000037550926,0,2.1972246,5.9802265,5.5787106,3.0301337,0,3.871201,,8,0,0,1,1,0,0,1,5.9802265,1.4586151,0,0,1,0,.1,0,0,4,0,0,0,4,1.7917595,0,0,3,2,2,2,0,,,0,0,0,0,0,0,0,0,0,0,0,0,.40000001,0,395.53,90.160004,9,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,11
131,0,0,1,29,1,35,1,0,1,0,4,55,14,12.5,2,5.199999809265137,0,1.3862944,4.0073333,2.6390574,1.6486586,0,3.5553482,6,4,0,0,0,0,0,0,1,,.48242617,0,0,2,0,,0,0,4,0,0,,4,1.6094379,,,,,,,,,,,0,0,1,1,1,,0,0,0,0,,,,55,12.5,4,0,1,1,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,17
131,0,0,0,36,1,35,6,0,2,,7,40.5,4.5,12.28,2.0999999,9.800000041723251,0,1.9459101,3.7013021,1.5040774,2.2823825,1.7917595,3.5553482,,4,0,0,1,0,0,40.453236,1,,.43696377,0,0,2,0,,0,0,4,0,0,,4,1.6094379,,,,,,,,,,,0,0,1,1,1,,0,0,0,0,,,,40.5,12.28,7,0,1,1,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,17
131,0,0,0,36,1,35,6,0,3,,7,41.52,4.4400001,11.26,0,9.800000041723251,0,1.9459101,3.7261753,1.4906543,2.2823825,1.7917595,3.5553482,,4,0,0,1,0,0,40.453236,1,3.5947368,.26646495,0,0,2,0,.2,0,0,4,0,0,1,4,1.6094379,1,,,,,,,,,0,0,0,1,1,1,40.453236,0,0,0,0,0,.40000001,.75,41.52,11.26,7,0,1,1,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,17
132,0,0,0,37,1,10,1,1,1,1,15,135,103.9,13.84,0,34.50000062584877,0,2.7080503,4.9052749,4.6434288,3.5409594,0,2.3025851,7,15,0,0,0,0,1,10,1,,1.2527629,0,0,1,0,,0,0,3,0,0,,4,0,,,4,5,4,3,1,10,8,,0,0,0,0,0,,0,0,0,0,,,,135,13.84,15,0,0,1,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,17
132,0,0,0,40,0,10,3,1,2,1,17,119,102.45,11.600003,7.6999998,39.10000070929527,0,2.8332133,4.7791233,4.629375,3.6661224,1.0986123,2.3025851,,15,0,0,1,0,1,0,1,,.28743199,0,0,1,0,,0,0,3,0,0,,4,0,,,4,5,4,3,1,,,,0,0,0,0,0,,0,0,0,0,,,,119,11.600003,17,0,0,1,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,17
132,0,0,0,40,0,11,1,1,3,,14,106.4,49.5,37.73,11,32.20000058412552,0,2.6390574,4.6672058,3.9019728,3.4719665,0,2.3978953,,15,0,0,1,0,1,0,1,4.6672058,2.1517622,.2,1,1,0,.25,0,0,3,0,0,1,4,0,1,1,4,5,4,3,1,,,0,0,0,0,0,0,0,0,0,0,0,0,.40000001,0,106.4,37.73,14,0,0,1,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,17
135,0,0,1,33,1,30,2,0,1,0,5,360,216.38,71.260002,0,10.99999994039536,0,1.6094379,5.8861041,5.3770361,2.3978953,.69314718,3.4011974,8,5,0,0,0,0,0,0,0,,3.8059244,0,0,3,0,,0,0,4,0,0,,4,1.9459101,,,3,2,2,2,1,,,,0,0,0,0,0,,0,0,0,0,,,,360,71.260002,5,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,17
135,0,0,1,33,0,18,2,0,2,,3,223.37,132.85001,51.93,0,6.599999964237213,0,1.0986123,5.4088297,4.8892207,1.8870697,.69314718,2.8903718,,5,0,0,1,0,0,0,0,,3.1664326,0,0,3,0,,0,0,4,0,0,,4,1.9459101,,,3,2,2,2,1,,,,0,0,0,0,0,,0,0,0,0,,,,223.37,51.93,3,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,17
135,0,0,1,33,0,9,2,0,3,,1,107.13,81.610001,12.76,3,2.199999988079071,0,0,4.6740432,4.4019518,.78845733,.69314718,2.1972246,,5,0,0,1,0,0,0,0,4.6740432,.25464219,0,0,3,0,.25,0,0,4,0,0,0,4,1.9459101,0,0,3,2,2,2,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,.75,107.13,12.76,1,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,17
137,0,0,0,40,0,20,1,0,1,0,5,150,105.12,21.93,0,9.000000134110451,0,1.6094379,5.0106354,4.6551027,2.1972246,0,2.9957323,6,5,0,0,0,0,0,0,1,,3.0839908,0,0,2,0,,0,0,4,0,0,,4,1.3862944,,,3,2,1,2,0,,,,0,0,0,0,0,,0,0,0,0,,,,150,21.93,5,0,1,1,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,17
