"Quality","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","chlorides"
"Low",6.8,0.26,0.24,7.8,54,214,0.9961,3.13,0.47,8.9,"Lots"
"Low",7.1,0.32,0.24,13.1,52,204,0.998,3.1,0.49,8.8,"Lots"
"Low",6.8,0.26,0.24,7.8,54,214,0.9961,3.13,0.47,8.9,"Lots"
"Low",6.8,0.27,0.26,16.1,55,196,0.9984,3.15,0.5,9.3,"Little"
"Low",7.1,0.32,0.24,13.1,52,204,0.998,3.1,0.49,8.8,"Lots"
"Low",6.9,0.54,0.32,13.2,53,236,0.9973,3.2,0.5,9.6,"Lots"
"Low",5.8,0.28,0.35,2.3,36,114,0.9924,3.28,0.5,10.2,"Lots"
"Low",6.4,0.21,0.5,11.6,45,153,0.9972,3.15,0.43,8.8,"Little"
"Low",7,0.16,0.32,8.3,38,126,0.9958,3.21,0.34,9.2,"Little"
"Low",10.2,0.44,0.88,6.2,20,124,0.9968,2.99,0.51,9.9,"Little"
"Low",6.8,0.57,0.29,2.2,15,77,0.9938,3.32,0.74,10.2,"Little"
"Low",5.6,0.245,0.25,9.7,12,68,0.994,3.31,0.34,10.5,"Little"
"High",6.8,0.18,0.38,1.4,35,111,0.9918,3.32,0.59,11.2,"Little"
"Low",7,0.16,0.32,8.3,38,126,0.9958,3.21,0.34,9.2,"Little"
"High",6.2,0.25,0.25,1.4,35,105,0.9912,3.3,0.44,11.1,"Little"
"Low",5.8,0.26,0.24,9.2,55,152,0.9961,3.31,0.38,9.4,"Little"
"Low",7.5,0.27,0.36,7,45,164,0.9939,3.03,0.33,11,"Little"
"Low",5.8,0.26,0.24,9.2,55,152,0.9961,3.31,0.38,9.4,"Little"
"Low",5.7,0.28,0.24,17.5,60,167,0.9989,3.31,0.44,9.4,"Little"
"Low",7.5,0.23,0.36,7,43,161,0.9938,3.04,0.32,11,"Little"
"Low",7.5,0.27,0.36,7,45,164,0.9939,3.03,0.33,11,"Little"
"High",6.2,0.25,0.25,1.4,35,105,0.9912,3.3,0.44,11.1,"Little"
"Low",7.1,0.24,0.41,17.8,39,145,0.9998,3.32,0.39,8.7,"Little"
"Low",7.1,0.24,0.41,17.8,39,145,0.9998,3.32,0.39,8.7,"Little"
"Low",6.8,0.64,0.08,9.7,26,142,0.9972,3.37,0.46,8.9,"Lots"
"High",7,0.26,0.59,1.4,40,120,0.9918,3.34,0.41,11.1,"Little"
"Low",7.3,0.32,0.23,13.7,49,197,0.9985,3.2,0.46,8.7,"Lots"
"Low",7.7,0.31,0.26,7.8,23,90,0.9944,3.13,0.5,10.4,"Little"
"High",7.1,0.21,0.37,2.4,23,100,0.9903,3.15,0.38,11.4,"Little"
"Low",6.9,0.4,0.56,11.2,40,142,0.9975,3.14,0.46,8.7,"Little"
"High",6.8,0.21,0.27,2.1,26,139,0.99,3.16,0.61,12.6,"Little"
"High",5.8,0.2,0.27,1.4,12,77,0.9905,3.25,0.36,10.9,"Little"
"High",5.6,0.19,0.26,1.4,12,76,0.9905,3.25,0.37,10.9,"Little"
"Low",6.1,0.41,0.14,10.4,18,119,0.996,3.38,0.45,10,"Little"
"Low",5.9,0.21,0.28,4.6,40,199,0.9964,3.72,0.7,10,"Lots"
"Low",8.5,0.26,0.21,16.2,41,197,0.998,3.02,0.5,9.8,"Lots"
"Low",6.9,0.4,0.56,11.2,40,142,0.9975,3.14,0.46,8.7,"Little"
"Low",5.8,0.24,0.44,3.5,5,109,0.9913,3.53,0.43,11.7,"Little"
"High",6.7,0.26,0.39,1.1,45,147,0.9935,3.32,0.58,9.6,"Little"
"High",6.3,0.35,0.3,5.7,8,97,0.9927,3.27,0.41,11,"Little"
"High",6.3,0.35,0.3,5.7,8,97,0.9927,3.27,0.41,11,"Little"
"Low",5.8,0.36,0.38,0.9,3,75,0.9904,3.28,0.34,11.4,"Little"
"Low",6.9,0.29,0.4,19.45,36,156,0.9996,2.93,0.47,8.9,"Little"
"Low",6.9,0.28,0.4,8.2,15,95,0.9944,3.17,0.33,10.2,"Little"
"Low",6.9,0.29,0.4,19.45,36,156,0.9996,2.93,0.47,8.9,"Little"
"Low",5.3,0.58,0.07,6.9,34,149,0.9944,3.34,0.57,9.7,"Little"
"Low",5.2,0.6,0.07,7,33,147,0.9944,3.33,0.58,9.7,"Little"
"Low",5.8,0.25,0.26,13.1,44,148,0.9972,3.29,0.38,9.3,"Lots"
"Low",6.6,0.58,0.3,5.1,30,123,0.9949,3.24,0.38,9,"Lots"
"Low",7,0.29,0.54,10.7,59,234,0.9966,3.05,0.61,9.5,"Little"
"Low",7.7,0.26,0.4,1.1,9,60,0.9915,2.89,0.5,10.6,"Little"
"Low",6.8,0.32,0.34,1.2,14,67,0.9919,3.05,0.47,10.6,"Little"
"High",7,0.3,0.49,4.7,17,105,0.9916,3.26,0.68,12.4,"Little"
"High",7,0.24,0.36,2.8,22,112,0.99,3.19,0.38,12.6,"Little"
"High",6.1,0.31,0.58,5,36,114,0.9909,3.3,0.6,12.3,"Little"
"Low",6.8,0.44,0.37,5.1,46,201,0.9938,3.08,0.65,10.5,"Little"
"Low",6.7,0.34,0.3,15.6,51,196,0.9982,3.19,0.49,9.3,"Lots"
"Low",7.1,0.35,0.24,15.4,46,198,0.9988,3.12,0.49,8.8,"Lots"
"Low",7.3,0.32,0.25,7.2,47,180,0.9961,3.08,0.47,8.8,"Lots"
"High",7.2,0.23,0.39,14.2,49,192,0.9979,2.98,0.48,9,"Lots"
"High",7.2,0.23,0.39,14.2,49,192,0.9979,2.98,0.48,9,"Lots"
"High",7.2,0.23,0.39,14.2,49,192,0.9979,2.98,0.48,9,"Lots"
"High",7.2,0.23,0.39,14.2,49,192,0.9979,2.98,0.48,9,"Lots"
"Low",7.4,0.28,0.42,19.8,53,195,1,2.96,0.44,9.1,"Lots"
"High",6.2,0.28,0.22,7.3,26,157,0.9957,3.44,0.64,9.8,"Little"
"Low",9.1,0.59,0.38,1.6,34,182,0.9968,3.23,0.38,8.5,"Lots"
"Low",8.3,0.39,0.7,10.6,33,169,0.9976,3.09,0.57,9.4,"Little"
"High",7.2,0.19,0.46,3.8,82,187,0.9932,3.19,0.6,11.2,"Little"
"Low",7.2,0.43,0.24,6.7,40,163,0.995,3.2,0.41,9.9,"Lots"
"High",6.2,0.33,0.27,4.9,30,134,0.9927,3.2,0.42,10.4,"Little"
"High",6.1,0.36,0.27,2.1,16,100,0.9917,3.4,0.71,11.5,"Little"
"High",5,0.55,0.14,8.3,35,164,0.9918,3.53,0.51,12.5,"Little"
"Low",5.8,0.34,0.21,6.6,50,167,0.9941,3.29,0.62,10,"Little"
"Low",6.6,0.24,0.35,7.7,36,135,0.9938,3.19,0.37,10.5,"Little"
"High",5.9,0.3,0.47,7.85,19,133,0.9933,3.52,0.43,11.5,"Little"
"High",6,0.1,0.24,1.1,15,65,0.9927,3.61,0.61,10.3,"Little"
"Low",6.6,0.24,0.35,7.7,36,135,0.9938,3.19,0.37,10.5,"Little"
"Low",8.3,0.41,0.51,2,11,207,0.993,3.02,0.55,11.4,"Little"
"Low",7.5,0.27,0.31,5.8,131,313,0.9946,3.18,0.59,10.5,"Lots"
"Low",7.2,0.21,0.41,1.3,33,85,0.992,3.17,0.51,10.4,"Little"
"High",6.4,0.32,0.35,4.8,34,101,0.9912,3.36,0.6,12.5,"Little"
"Low",6.8,0.24,0.34,4.6,37,135,0.9927,3.2,0.39,10.6,"Little"
"Low",6.5,0.28,0.34,9.9,30,133,0.9954,3.11,0.44,9.8,"Little"
"Low",5.6,0.26,0.26,5.7,12,80,0.9923,3.25,0.38,10.8,"Little"
"Low",5.9,0.26,0.4,1.3,12,139,0.9945,3.45,0.53,10.4,"Little"
"High",6.6,0.18,0.35,1.5,49,141,0.9934,3.43,0.85,10.2,"Little"
"High",7.4,0.2,0.43,7.8,27,153,0.9964,3.19,0.55,9,"Little"
"Low",5.4,0.31,0.47,3,46,144,0.9931,3.29,0.76,10,"Lots"
"High",5.6,0.34,0.1,1.3,20,68,0.9906,3.36,0.51,11.2,"Little"
"Low",7.6,0.17,0.45,11.2,56,137,0.997,3.15,0.47,10,"Lots"
"High",6.3,0.12,0.36,2.1,47,146,0.9914,3.27,0.74,11.4,"Little"
"High",7.3,0.33,0.4,6.85,32,138,0.992,3.03,0.3,11.9,"Little"
"High",7.3,0.33,0.4,6.85,32,138,0.992,3.03,0.3,11.9,"Little"
"Low",7.1,0.365,0.14,1.2,24,84,0.9941,3.15,0.43,8.9,"Lots"
"High",6.8,0.16,0.4,2.3,18,102,0.9923,3.49,0.42,11.4,"Little"
"High",6,0.26,0.32,3.5,29,113,0.9912,3.4,0.71,12.3,"Little"
"Low",7.1,0.39,0.35,12.5,26,72,0.9941,3.17,0.29,11.6,"Little"
"Low",6.6,0.905,0.19,0.8,17,204,0.9934,3.34,0.56,10,"Little"
"High",5.1,0.33,0.22,1.6,18,89,0.9893,3.51,0.38,12.5,"Little"
"High",5.1,0.33,0.22,1.6,18,89,0.9893,3.51,0.38,12.5,"Little"
"High",6.4,0.31,0.28,1.5,12,119,0.9919,3.32,0.51,10.4,"Little"
"High",7.3,0.2,0.44,1.4,21,98,0.9924,3.15,0.46,10,"Little"
"High",6.4,0.31,0.28,1.5,12,119,0.9919,3.32,0.51,10.4,"Little"
"High",7.3,0.2,0.44,1.4,21,98,0.9924,3.15,0.46,10,"Little"
"High",6,0.36,0.39,3.2,20,125,0.991,3.38,0.39,11.3,"Little"
"High",5.1,0.33,0.22,1.6,18,89,0.9893,3.51,0.38,12.5,"Little"
"High",5,0.17,0.56,1.5,24,115,0.9906,3.48,0.39,10.8,"Little"
"Low",6.3,0.39,0.35,5.9,82.5,260,0.9941,3.12,0.66,10.1,"Little"
"High",7,0.3,0.38,14.9,60,181,0.9983,3.18,0.61,9.3,"Little"
"High",7,0.3,0.38,14.9,60,181,0.9983,3.18,0.61,9.3,"Little"
"Low",6.5,0.36,0.32,1.1,13,66,0.9916,3.1,0.46,10.6,"Little"
"Low",6.8,0.37,0.51,11.8,62,163,0.9976,3.19,0.44,8.8,"Little"
"Low",6.8,0.27,0.12,1.3,87,168,0.992,3.18,0.41,10,"Little"
"Low",8.2,0.28,0.42,1.8,30,93,0.9917,3.09,0.39,11.4,"Little"
"Low",5.9,0.26,0.27,18.2,52,168,0.9993,3.35,0.44,9.4,"Little"
"Low",6.8,0.37,0.51,11.8,62,163,0.9976,3.19,0.44,8.8,"Little"
"Low",6.1,0.35,0.07,1.4,22,108,0.9934,3.23,0.52,9.2,"Lots"
"Low",7.1,0.27,0.31,18.2,55,252,1,3.07,0.56,8.7,"Little"
"Low",6.8,0.27,0.12,1.3,87,168,0.992,3.18,0.41,10,"Little"
"High",5.8,0.28,0.34,4,40,99,0.9896,3.39,0.39,12.8,"Little"
"Low",6.9,0.49,0.24,1.2,13,125,0.9932,3.17,0.51,9.4,"Little"
"Low",8.2,0.28,0.42,1.8,30,93,0.9917,3.09,0.39,11.4,"Little"
"Low",7.2,0.19,0.39,1.2,32,85,0.9918,3.16,0.5,10.5,"Little"
"Low",7.2,0.19,0.39,1.2,32,85,0.9918,3.16,0.5,10.5,"Little"
"Low",6.8,0.26,0.22,7.7,57,210,0.9959,3.1,0.47,9,"Little"
"High",7,0.22,0.31,2.7,41,136,0.9898,3.16,0.37,12.7,"Little"
"High",6.9,0.23,0.38,8.3,47,162,0.9954,3.34,0.52,10.5,"Little"
"Low",6.8,0.29,0.5,13.3,48,194,0.9974,3.09,0.45,9.4,"Lots"
"Low",7.8,0.21,0.27,1.2,20,89,0.9936,3.06,0.46,9.1,"Lots"
"Low",7.1,0.31,0.47,13.6,54,197,0.9978,3.1,0.49,9.3,"Lots"
"Low",6.8,0.29,0.5,13.3,48,194,0.9974,3.09,0.45,9.4,"Lots"
"Low",6.4,0.34,0.1,1.1,19,84,0.9927,3.21,0.38,9.8,"Little"
"High",7.4,0.155,0.34,2.3,73.5,214,0.9934,3.18,0.61,9.9,"Little"
"Low",7.2,0.55,0.09,1.5,16,151,0.9938,3.07,0.57,9.2,"Lots"
"High",7,0.23,0.36,7.1,31,104,0.9922,3.35,0.47,12.1,"Little"
"High",6.9,0.2,0.37,6.2,24,97,0.992,3.38,0.49,12.2,"Little"
"Low",6.1,0.28,0.32,2.5,23,218.5,0.9935,3.27,0.6,9.8,"Little"
"High",6.6,0.16,0.32,1.4,49,186,0.9906,3.35,0.64,12.4,"Little"
"High",7.4,0.155,0.34,2.3,73.5,214,0.9934,3.18,0.61,9.9,"Little"
"Low",6.2,0.35,0.04,1.2,23,108,0.9934,3.26,0.54,9.2,"Lots"
"High",6.7,0.22,0.37,1.6,24,102,0.9913,3.29,0.59,11.6,"Little"
"High",6,0.25,0.28,2.2,54,126,0.9898,3.43,0.65,12.9,"Little"
"Low",7.1,0.32,0.32,11,16,66,0.9937,3.24,0.4,11.5,"Little"
"Low",5.8,0.28,0.27,2.6,30,156,0.9914,3.53,0.42,12.4,"Lots"
"High",6.4,0.28,0.29,1.6,34,127,0.9929,3.48,0.56,10.5,"Lots"
"Low",7.2,0.6,0.2,9.9,21,174,0.9971,3.03,0.54,9.1,"Lots"
"Low",6.1,0.2,0.25,1.2,34,128,0.9921,3.24,0.44,10.1,"Little"
"High",5.9,0.46,0.14,2.7,27,160,0.9931,3.46,0.51,10.6,"Little"
"High",6,0.27,0.27,1.6,32,113,0.9924,3.41,0.51,10.5,"Little"
"High",6.4,0.28,0.29,1.6,34,127,0.9929,3.48,0.56,10.5,"Lots"
"High",6.3,0.23,0.31,1.5,11,82,0.9892,3.3,0.4,12.9,"Little"
"Low",7.1,0.21,0.27,8.6,26,111,0.9956,2.95,0.52,9.5,"Lots"
"Low",6.1,0.43,0.35,9.1,83,249,0.9971,3.37,0.5,8.5,"Lots"
"Low",7.1,0.21,0.27,8.6,26,111,0.9956,2.95,0.52,9.5,"Lots"
"Low",7,0.25,0.29,15.2,40,171,0.9982,3.22,0.45,9.3,"Little"
"Low",5.9,0.25,0.19,12.4,50,162,0.9973,3.35,0.38,9.5,"Little"
"Low",7.2,0.39,0.62,11,66,178,0.9976,3.16,0.5,8.7,"Little"
"Low",6.3,0.21,0.58,10,34,126,0.9962,2.95,0.46,8.9,"Lots"
"Low",7.2,0.39,0.62,11,66,178,0.9976,3.16,0.5,8.7,"Little"
"Low",7.2,0.29,0.53,18.15,59,182,0.9992,3.09,0.52,9.6,"Little"
"Low",6.5,0.38,0.34,3.4,34,200,0.9937,3.14,0.76,10,"Little"
"High",7,0.17,0.31,4.8,34,132,0.9944,3.36,0.48,9.6,"Little"
"Low",7,0.24,0.51,11,55,227,0.9965,3.03,0.61,9.5,"Little"
"High",7.4,0.28,0.36,1.1,42,105,0.9893,2.99,0.39,12.4,"Little"
"Low",6.7,0.47,0.34,8.9,31,172,0.9964,3.22,0.6,9.2,"Little"
"Low",5.8,0.25,0.24,13.3,41,137,0.9972,3.34,0.42,9.5,"Little"
"Low",6.7,0.47,0.34,8.9,31,172,0.9964,3.22,0.6,9.2,"Little"
"Low",6.2,0.37,0.3,6.6,79,200,0.9954,3.29,0.58,9.6,"Lots"
"High",7.1,0.23,0.39,1.6,12,65,0.9898,3.25,0.4,12.7,"Little"
"Low",7.2,0.4,0.62,10.8,70,189,0.9976,3.08,0.49,8.6,"Little"
"Low",5.7,0.335,0.34,1,13,174,0.992,3.27,0.66,10,"Little"
"Low",7.2,0.4,0.62,10.8,70,189,0.9976,3.08,0.49,8.6,"Little"
"Low",6.5,0.3,0.29,2.25,8,210,0.9937,3.19,0.62,9.9,"Little"
"Low",7.3,0.51,0.26,3.3,7,135,0.9944,3.01,0.52,8.8,"Lots"
"High",6,0.24,0.27,1.9,40,170,0.9938,3.64,0.54,10,"Little"
"High",6,0.24,0.27,1.9,40,170,0.9938,3.64,0.54,10,"Little"
"High",7.8,0.28,0.32,9,34,115,0.9952,3.17,0.39,10.3,"Little"
"Low",6.8,0.18,0.37,1.6,47,154,0.9934,3.08,0.45,9.1,"Lots"
"Low",7.2,0.34,0.34,12.6,7,41,0.9942,3.19,0.4,11.7,"Little"
"Low",7.9,0.19,0.26,2.1,8,143,0.9942,3.05,0.74,9.8,"Little"
"Low",7.9,0.19,0.26,2.1,8,143,0.9942,3.05,0.74,9.8,"Little"
"Low",5.6,0.35,0.37,1,6,72,0.9902,3.37,0.34,11.4,"Little"
"Low",7.2,0.31,0.46,5,3,29,0.9906,3.04,0.53,12.5,"Little"
"Low",6.4,0.18,0.48,4,64,150,0.9945,3.06,0.4,9.3,"Lots"
"Low",7.9,0.345,0.51,15.3,54,171,0.9987,3.09,0.51,9.1,"Little"
"Low",7.9,0.345,0.51,15.3,54,171,0.9987,3.09,0.51,9.1,"Little"
"Low",6.1,0.24,0.3,1.5,22,61,0.992,3.31,0.54,10.4,"Little"
"Low",6.7,0.31,0.31,9.9,10,175,0.9953,3.46,0.55,11.4,"Little"
"Low",7.2,0.46,0.65,10.4,76,192,0.9976,3.16,0.42,8.7,"Lots"
"High",6.5,0.18,0.31,1.7,30,127,0.9928,3.49,0.5,10.2,"Little"
"Low",7.2,0.46,0.65,10.4,76,192,0.9976,3.16,0.42,8.7,"Lots"
"High",7,0.3,0.51,13.6,40,168,0.9976,3.07,0.52,9.6,"Lots"
"High",9.2,0.25,0.34,1.2,31,93,0.9916,2.93,0.37,11.3,"Little"
"High",7.8,0.28,0.34,1.6,32,118,0.9901,3,0.38,12.1,"Little"
"High",7,0.3,0.51,13.6,40,168,0.9976,3.07,0.52,9.6,"Lots"
"High",7.8,0.28,0.34,1.6,32,118,0.9901,3,0.38,12.1,"Little"
"High",9.2,0.25,0.34,1.2,31,93,0.9916,2.93,0.37,11.3,"Little"
