student_id,course_code,grade,semester
868,POLI201,B,Fall 2024
774,BIO101,C,Spring 2024
543,PHYS101,B,Fall 2024
4418,ACC101,B+,Fall 2024
786,PHIL101,B,Fall 2024
3306,CS101,C+,Spring 2024
4636,ENG101,D,Fall 2024
2884,SOC101,D,Spring 2024
449,SOC101,C,Fall 2024
3311,PHIL101,B+,Fall 2024
4586,BIO101,D,Fall 2024
1906,ACC101,B+,Fall 2024
4560,BUS201,A,Spring 2024
4410,ENG101,F,Spring 2024
3252,ART101,C,Fall 2024
385,ACC101,F,Fall 2024
295,ENG101,B+,Fall 2024
1239,HIST101,B,Fall 2024
4858,POLI201,B,Spring 2024
2817,BUS201,B,Fall 2024
1099,ACC101,B,Spring 2024
1738,MUS101,B+,Spring 2024
2190,MKT101,C+,Spring 2024
2766,MUS101,C,Fall 2024
1223,ECON201,B,Fall 2024
3243,MKT101,B+,Spring 2024
3900,PHIL101,D,Spring 2024
4324,HIST101,D,Spring 2024
411,PHIL101,B+,Fall 2024
3000,BUS201,B,Fall 2024
2946,ACC101,A,Spring 2024
4787,ART101,B+,Fall 2024
878,PHYS101,C,Fall 2024
787,ACC101,C,Fall 2024
2110,ECON201,A,Spring 2024
1987,FIN201,D,Fall 2024
879,BUS201,D,Fall 2024
1608,ART101,B+,Spring 2024
2404,BUS201,A,Spring 2024
71,MKT101,B+,Fall 2024
2311,ARCH101,B+,Spring 2024
4402,SOC101,A,Spring 2024
3296,PHIL101,D,Fall 2024
762,SOC101,F,Spring 2024
4684,PSYCH101,C+,Spring 2024
2122,ART101,B,Fall 2024
3583,ENG101,B,Fall 2024
4198,PSYCH101,B,Fall 2024
1630,CS101,A,Spring 2024
4289,ART101,B+,Fall 2024
1086,CHEM101,F,Spring 2024
2458,LIT201,F,Fall 2024
4396,BIO101,B+,Fall 2024
3267,LIT201,C,Spring 2024
454,ECON201,F,Spring 2024
2622,PHYS101,B+,Fall 2024
619,LIT201,D,Spring 2024
637,PHYS101,C+,Fall 2024
2349,ART101,B,Spring 2024
4875,FIN201,F,Fall 2024
3037,HIST101,D,Fall 2024
2250,HIST101,D,Spring 2024
2722,PSYCH101,F,Fall 2024
2350,ECON201,F,Fall 2024
4433,ART101,C+,Spring 2024
1995,ART101,B,Spring 2024
2821,BUS201,F,Fall 2024
1072,ENG101,A,Spring 2024
2032,ARCH101,C+,Fall 2024
1250,MUS101,D,Fall 2024
1296,HIST101,F,Spring 2024
3557,CHEM101,B+,Fall 2024
328,PHIL101,B,Fall 2024
797,PHYS101,C,Fall 2024
2862,POLI201,C+,Fall 2024
4761,PSYCH101,D,Fall 2024
2794,BUS201,A,Spring 2024
3095,MATH201,D,Spring 2024
2978,ENG101,C,Fall 2024
963,CS101,F,Spring 2024
1269,ART101,F,Spring 2024
373,HIST101,A,Spring 2024
4381,FIN201,B,Spring 2024
2569,MATH201,C+,Fall 2024
4903,MUS101,A,Spring 2024
4743,BUS201,C,Spring 2024
3694,PHYS101,D,Spring 2024
1605,ACC101,C,Spring 2024
96,ENG101,B+,Spring 2024
4370,ART101,A,Spring 2024
3942,CHEM101,C+,Fall 2024
1201,PSYCH101,C+,Spring 2024
3945,CS101,D,Spring 2024
4880,PSYCH101,D,Spring 2024
132,ART101,F,Spring 2024
3116,BUS201,D,Fall 2024
1391,CHEM101,B+,Fall 2024
1150,LIT201,C,Spring 2024
3511,LIT201,D,Spring 2024
3648,PSYCH101,F,Spring 2024
808,POLI201,A,Spring 2024
4840,MATH201,D,Fall 2024
51,PHIL101,C,Spring 2024
3209,CS101,A,Fall 2024
56,PHYS101,A,Fall 2024
3665,BUS201,A,Spring 2024
744,ENG101,C,Spring 2024
4539,CHEM101,D,Fall 2024
2877,ECON201,C,Spring 2024
80,BIO101,C,Fall 2024
4473,BIO101,B,Spring 2024
3941,ARCH101,F,Spring 2024
2967,LIT201,C,Spring 2024
3729,ARCH101,B+,Spring 2024
4537,HIST101,F,Fall 2024
126,FIN201,B,Spring 2024
219,MATH201,A,Spring 2024
948,ARCH101,D,Spring 2024
4374,MATH201,C+,Fall 2024
595,LIT201,D,Spring 2024
141,HIST101,B,Fall 2024
2894,HIST101,F,Fall 2024
3056,ECON201,B,Spring 2024
1631,POLI201,F,Fall 2024
877,SOC101,F,Spring 2024
4206,ART101,A,Spring 2024
2661,ACC101,C,Spring 2024
3391,LIT201,C,Fall 2024
4892,ACC101,B,Fall 2024
2030,ENG101,C,Fall 2024
4825,HIST101,B,Spring 2024
2553,CS101,D,Spring 2024
3612,MUS101,C+,Fall 2024
1041,PSYCH101,D,Fall 2024
315,CHEM101,C+,Spring 2024
3460,MATH201,A,Fall 2024
4173,MUS101,B+,Spring 2024
3026,MATH201,B+,Spring 2024
2947,CHEM101,D,Fall 2024
3237,ARCH101,C,Spring 2024
3681,ECON201,B+,Spring 2024
4808,PHIL101,C+,Fall 2024
3107,BIO101,A,Fall 2024
1538,ECON201,C+,Fall 2024
3873,PHIL101,F,Spring 2024
1868,HIST101,B,Spring 2024
4950,ACC101,C,Fall 2024
1162,FIN201,C,Spring 2024
3921,ENG101,B+,Fall 2024
3883,LIT201,B,Spring 2024
2757,ART101,B+,Spring 2024
1913,MKT101,F,Spring 2024
265,ECON201,B+,Spring 2024
4429,CHEM101,B+,Spring 2024
4916,HIST101,B,Fall 2024
1303,ENG101,B+,Fall 2024
1195,PSYCH101,F,Spring 2024
1527,ECON201,C,Fall 2024
3605,PHIL101,B+,Fall 2024
4395,HIST101,B,Spring 2024
2249,CHEM101,B,Spring 2024
1159,PHYS101,C+,Spring 2024
4368,LIT201,B+,Fall 2024
4631,CS101,B,Fall 2024
3514,ARCH101,D,Fall 2024
2079,CS101,B+,Spring 2024
1145,ACC101,A,Spring 2024
69,BIO101,C,Spring 2024
3718,POLI201,C,Spring 2024
3009,PHIL101,D,Spring 2024
827,ART101,B+,Fall 2024
1170,ENG101,F,Fall 2024
984,ECON201,C,Fall 2024
4577,MKT101,C,Spring 2024
3978,CS101,F,Spring 2024
3335,ART101,A,Fall 2024
2341,MATH201,C,Fall 2024
2016,MKT101,C,Spring 2024
1453,PSYCH101,B,Fall 2024
2134,MATH201,C,Spring 2024
1040,CS101,B+,Fall 2024
4724,HIST101,C,Fall 2024
4214,PSYCH101,B+,Fall 2024
3467,HIST101,C,Fall 2024
3027,HIST101,B+,Spring 2024
4258,PHIL101,C,Spring 2024
2748,MKT101,D,Spring 2024
4263,ECON201,B+,Fall 2024
4396,MATH201,C,Spring 2024
3496,ARCH101,F,Fall 2024
3856,MUS101,A,Spring 2024
562,ART101,B,Fall 2024
2204,PHIL101,B,Spring 2024
3420,HIST101,B,Spring 2024
1145,MUS101,F,Fall 2024
2700,ART101,B,Spring 2024
1552,PSYCH101,F,Fall 2024
4022,SOC101,A,Fall 2024
561,BIO101,D,Fall 2024
1188,BUS201,D,Spring 2024
3134,ACC101,A,Spring 2024
3412,BUS201,C,Spring 2024
1690,CHEM101,A,Spring 2024
4408,SOC101,B,Spring 2024
2424,POLI201,F,Fall 2024
1370,PSYCH101,D,Spring 2024
581,BUS201,C+,Spring 2024
977,BUS201,C,Spring 2024
4273,CHEM101,B+,Fall 2024
4610,PHIL101,D,Fall 2024
2357,ENG101,B,Fall 2024
119,CS101,F,Fall 2024
1543,ENG101,D,Spring 2024
4863,ART101,F,Fall 2024
3044,SOC101,B,Spring 2024
973,BIO101,B,Spring 2024
916,FIN201,D,Spring 2024
1438,MUS101,D,Fall 2024
587,ART101,D,Spring 2024
351,PHIL101,A,Fall 2024
4592,BIO101,D,Fall 2024
2563,ACC101,F,Fall 2024
1871,PHYS101,B+,Fall 2024
273,MKT101,C,Fall 2024
2928,MUS101,B,Fall 2024
4359,ARCH101,D,Fall 2024
3440,ART101,B+,Spring 2024
3042,ECON201,C+,Fall 2024
3949,MKT101,F,Spring 2024
1765,ECON201,D,Fall 2024
4291,PHIL101,A,Spring 2024
1771,FIN201,B,Spring 2024
1523,CS101,B+,Spring 2024
832,CHEM101,F,Spring 2024
562,ENG101,D,Fall 2024
3541,BIO101,B+,Spring 2024
4137,MKT101,B,Fall 2024
1480,LIT201,B+,Fall 2024
4467,PSYCH101,B+,Fall 2024
1206,HIST101,F,Spring 2024
657,SOC101,D,Fall 2024
3941,POLI201,D,Spring 2024
590,POLI201,F,Fall 2024
4327,FIN201,C,Spring 2024
4905,PSYCH101,A,Fall 2024
1372,HIST101,C,Spring 2024
4575,PHYS101,A,Spring 2024
3752,ACC101,A,Fall 2024
3760,PHIL101,C,Fall 2024
2101,BIO101,F,Spring 2024
1885,ACC101,B,Spring 2024
748,ART101,F,Spring 2024
464,ENG101,B+,Spring 2024
754,LIT201,C+,Spring 2024
583,MKT101,C,Spring 2024
2206,ARCH101,C,Fall 2024
4115,BUS201,B,Fall 2024
4151,MKT101,B+,Spring 2024
4028,CS101,D,Fall 2024
4817,MUS101,F,Spring 2024
3354,MKT101,C,Fall 2024
2809,SOC101,C+,Spring 2024
3604,ENG101,B+,Spring 2024
3914,PSYCH101,C,Fall 2024
1420,HIST101,D,Fall 2024
2168,BUS201,C,Fall 2024
2145,POLI201,D,Spring 2024
2168,FIN201,A,Fall 2024
1561,ECON201,A,Spring 2024
1177,MUS101,C,Fall 2024
1269,FIN201,B,Fall 2024
3588,POLI201,A,Fall 2024
1167,PHIL101,C,Spring 2024
3576,CS101,D,Spring 2024
2842,PSYCH101,B+,Fall 2024
1871,PHYS101,F,Spring 2024
3930,ACC101,D,Spring 2024
2268,ENG101,C+,Fall 2024
2887,SOC101,A,Fall 2024
160,MKT101,F,Fall 2024
2659,MKT101,F,Fall 2024
3764,BIO101,F,Spring 2024
4735,CS101,C,Fall 2024
1056,PSYCH101,A,Spring 2024
334,HIST101,D,Fall 2024
3597,BIO101,D,Fall 2024
892,ECON201,B+,Fall 2024
2988,MATH201,B,Fall 2024
4448,PHIL101,C,Fall 2024
1363,MUS101,B+,Fall 2024
926,SOC101,C+,Spring 2024
2444,LIT201,C,Spring 2024
2578,ECON201,C+,Spring 2024
3981,ARCH101,B,Spring 2024
2406,HIST101,C,Spring 2024
1420,LIT201,C,Spring 2024
2876,POLI201,F,Spring 2024
60,PHYS101,B+,Fall 2024
2525,MKT101,A,Spring 2024
3798,ENG101,C,Fall 2024
2660,PHYS101,B,Spring 2024
4097,FIN201,C,Spring 2024
1579,SOC101,C,Fall 2024
4407,LIT201,C,Fall 2024
3106,MUS101,F,Fall 2024
708,MATH201,C,Fall 2024
1781,ACC101,B,Fall 2024
2414,MKT101,B+,Spring 2024
4954,LIT201,A,Fall 2024
3407,ENG101,B,Fall 2024
2162,BUS201,B,Fall 2024
3540,POLI201,C+,Spring 2024
609,ENG101,A,Fall 2024
309,CS101,F,Fall 2024
4308,BIO101,B+,Fall 2024
2365,ENG101,D,Spring 2024
185,ACC101,B+,Fall 2024
246,MUS101,D,Spring 2024
239,CS101,C+,Spring 2024
520,SOC101,C+,Fall 2024
3908,FIN201,F,Spring 2024
277,ECON201,B,Spring 2024
4029,HIST101,B+,Spring 2024
4310,PSYCH101,D,Spring 2024
606,PHIL101,B+,Spring 2024
4574,HIST101,D,Spring 2024
4604,ECON201,B+,Fall 2024
4054,BUS201,B,Spring 2024
2713,PHYS101,D,Spring 2024
142,CHEM101,B+,Fall 2024
3662,MKT101,C,Spring 2024
2370,BUS201,C+,Fall 2024
1718,FIN201,F,Fall 2024
4557,BUS201,C+,Spring 2024
4766,MUS101,D,Spring 2024
3428,BIO101,C+,Spring 2024
2325,ARCH101,F,Fall 2024
1845,PSYCH101,C+,Spring 2024
400,ENG101,C,Fall 2024
4764,CHEM101,A,Spring 2024
2564,MUS101,B+,Spring 2024
1523,MKT101,D,Spring 2024
1335,LIT201,C+,Fall 2024
2624,ARCH101,B+,Fall 2024
239,HIST101,B+,Spring 2024
3216,BUS201,C,Fall 2024
3648,ECON201,F,Spring 2024
1617,HIST101,B+,Fall 2024
2430,PHYS101,F,Fall 2024
3653,CHEM101,C+,Spring 2024
1722,MKT101,D,Spring 2024
1273,ENG101,B+,Fall 2024
3140,CHEM101,C,Fall 2024
2879,PHIL101,D,Fall 2024
1536,FIN201,D,Spring 2024
536,ART101,D,Spring 2024
949,FIN201,C+,Fall 2024
4959,ECON201,C,Spring 2024
2643,MKT101,B,Fall 2024
3942,ACC101,A,Spring 2024
1022,CHEM101,B+,Spring 2024
434,PSYCH101,B+,Fall 2024
1404,MUS101,B+,Spring 2024
3512,PHYS101,F,Fall 2024
2936,BUS201,B,Spring 2024
4879,CS101,D,Fall 2024
4265,BUS201,D,Spring 2024
4805,BIO101,F,Spring 2024
3334,BIO101,A,Spring 2024
1603,PHYS101,C,Fall 2024
229,POLI201,B,Fall 2024
4523,SOC101,B,Spring 2024
4218,MATH201,C+,Spring 2024
2197,ACC101,D,Fall 2024
2900,FIN201,B,Fall 2024
111,ENG101,B,Spring 2024
1245,MUS101,B+,Spring 2024
4160,PHYS101,F,Fall 2024
2686,MATH201,D,Fall 2024
3802,POLI201,C+,Fall 2024
3868,ACC101,C,Spring 2024
1378,POLI201,A,Spring 2024
1772,POLI201,C,Fall 2024
13,HIST101,C+,Fall 2024
4335,LIT201,B+,Spring 2024
3262,MKT101,A,Spring 2024
663,FIN201,C,Spring 2024
3093,BUS201,D,Spring 2024
694,PSYCH101,D,Fall 2024
3391,FIN201,A,Spring 2024
1182,ECON201,A,Spring 2024
3019,BUS201,A,Spring 2024
1505,ART101,B,Fall 2024
1903,HIST101,C+,Fall 2024
4172,MATH201,D,Fall 2024
329,PSYCH101,D,Spring 2024
1440,BIO101,C+,Spring 2024
3847,LIT201,B+,Spring 2024
4168,SOC101,D,Spring 2024
225,CHEM101,C,Fall 2024
2521,ENG101,B+,Spring 2024
3715,PSYCH101,F,Fall 2024
2408,MATH201,F,Spring 2024
811,BIO101,C,Spring 2024
3118,BIO101,A,Spring 2024
4774,BUS201,D,Spring 2024
3291,PHIL101,C,Spring 2024
4387,CHEM101,C,Spring 2024
2252,ENG101,A,Fall 2024
4662,MKT101,F,Fall 2024
2530,PHIL101,B+,Fall 2024
4607,MUS101,C,Fall 2024
924,ECON201,D,Fall 2024
3053,PSYCH101,B+,Spring 2024
16,MUS101,B+,Spring 2024
3597,FIN201,C+,Fall 2024
2404,ECON201,F,Spring 2024
4452,CHEM101,D,Spring 2024
4926,PHYS101,D,Spring 2024
4011,SOC101,A,Spring 2024
2647,HIST101,A,Fall 2024
1102,ARCH101,B,Spring 2024
2976,POLI201,D,Fall 2024
1091,ENG101,F,Fall 2024
2907,CS101,B+,Spring 2024
1747,ART101,B,Spring 2024
4310,ECON201,D,Spring 2024
1721,MUS101,A,Fall 2024
449,LIT201,F,Spring 2024
3013,LIT201,A,Fall 2024
3505,ECON201,D,Spring 2024
1569,MATH201,B,Fall 2024
3187,ENG101,A,Fall 2024
3492,ACC101,A,Fall 2024
2547,ART101,C+,Fall 2024
4806,MKT101,C,Fall 2024
4476,POLI201,D,Fall 2024
1048,HIST101,C+,Fall 2024
4635,ECON201,F,Spring 2024
4849,FIN201,C,Fall 2024
4631,PSYCH101,D,Spring 2024
4769,ART101,C+,Spring 2024
1065,MATH201,C+,Spring 2024
3822,MUS101,D,Fall 2024
568,MKT101,B+,Fall 2024
1437,ENG101,B,Spring 2024
4511,MATH201,D,Fall 2024
4545,ENG101,C+,Fall 2024
4706,ACC101,B+,Spring 2024
2706,ART101,C+,Spring 2024
2484,PSYCH101,B,Spring 2024
4801,ENG101,F,Spring 2024
4830,SOC101,B+,Spring 2024
3780,BIO101,D,Spring 2024
4896,BIO101,C,Spring 2024
2795,ARCH101,F,Fall 2024
1861,POLI201,B,Fall 2024
3337,BUS201,A,Fall 2024
1891,MKT101,D,Spring 2024
4827,PSYCH101,D,Fall 2024
4292,ART101,D,Spring 2024
1098,CHEM101,B+,Spring 2024
1639,MUS101,A,Spring 2024
1659,BUS201,F,Fall 2024
1126,PHYS101,F,Spring 2024
264,BIO101,B+,Spring 2024
2993,ACC101,C,Spring 2024
161,CS101,B+,Fall 2024
1257,PSYCH101,D,Fall 2024
4866,SOC101,C+,Spring 2024
311,LIT201,A,Spring 2024
227,FIN201,A,Spring 2024
273,CS101,F,Fall 2024
4413,MKT101,F,Spring 2024
1923,BUS201,B+,Spring 2024
3158,POLI201,C+,Fall 2024
2339,BUS201,C+,Fall 2024
1602,HIST101,B+,Fall 2024
3719,MKT101,B,Fall 2024
2423,ECON201,C,Fall 2024
1926,FIN201,B+,Fall 2024
567,MUS101,D,Spring 2024
2916,MUS101,C+,Fall 2024
252,BUS201,C,Fall 2024
2355,ARCH101,B+,Spring 2024
3502,CS101,C,Spring 2024
4771,CS101,B,Spring 2024
2312,PSYCH101,C+,Fall 2024
2116,PHIL101,B,Fall 2024
1603,PSYCH101,F,Fall 2024
3271,PHYS101,B,Fall 2024
514,PHIL101,C+,Fall 2024
442,PHYS101,F,Spring 2024
1,ART101,D,Spring 2024
903,CS101,B,Fall 2024
1221,HIST101,B+,Fall 2024
2322,CS101,B+,Spring 2024
856,CHEM101,C,Fall 2024
1018,ARCH101,B+,Spring 2024
2221,PHIL101,B+,Spring 2024
4681,MUS101,F,Spring 2024
3505,HIST101,F,Spring 2024
4551,BUS201,C,Spring 2024
196,MKT101,A,Spring 2024
4695,HIST101,C+,Spring 2024
1333,MATH201,B+,Spring 2024
4652,ARCH101,C,Fall 2024
1518,POLI201,B,Spring 2024
4535,BUS201,B,Spring 2024
2698,MUS101,F,Spring 2024
4455,CHEM101,D,Spring 2024
3108,LIT201,B+,Spring 2024
1058,PSYCH101,C+,Fall 2024
2706,ECON201,C,Spring 2024
2064,FIN201,F,Fall 2024
2793,CS101,D,Spring 2024
421,PHIL101,D,Spring 2024
4649,FIN201,C,Fall 2024
2815,PHYS101,F,Fall 2024
2841,SOC101,F,Spring 2024
1032,LIT201,C,Spring 2024
1492,PSYCH101,C,Fall 2024
4976,PSYCH101,C,Fall 2024
1886,PSYCH101,C+,Spring 2024
4948,POLI201,C,Fall 2024
510,PHYS101,F,Fall 2024
1860,PHIL101,C+,Fall 2024
1859,PHYS101,C+,Fall 2024
914,ECON201,C+,Fall 2024
2066,POLI201,B,Spring 2024
2967,FIN201,A,Spring 2024
4890,MUS101,D,Spring 2024
3838,ART101,B+,Spring 2024
1597,HIST101,B,Spring 2024
4443,ENG101,F,Spring 2024
1056,MUS101,A,Fall 2024
1024,PHYS101,D,Fall 2024
3205,ECON201,B,Fall 2024
576,POLI201,D,Spring 2024
199,ENG101,C+,Fall 2024
1366,HIST101,C+,Fall 2024
1999,ARCH101,C,Fall 2024
1017,ECON201,F,Fall 2024
3619,PHYS101,C+,Fall 2024
26,PHIL101,B,Spring 2024
1559,PHYS101,D,Spring 2024
3725,ENG101,B+,Fall 2024
3459,CHEM101,F,Fall 2024
3357,ENG101,D,Spring 2024
2368,HIST101,C+,Spring 2024
471,ENG101,D,Fall 2024
2468,PHYS101,A,Fall 2024
4747,POLI201,D,Spring 2024
886,PSYCH101,B,Spring 2024
876,HIST101,A,Fall 2024
942,ART101,F,Fall 2024
3042,ACC101,C,Spring 2024
572,PHIL101,C,Fall 2024
4150,ECON201,D,Spring 2024
605,PSYCH101,B+,Fall 2024
4421,CS101,B,Fall 2024
3530,CS101,B+,Spring 2024
4981,SOC101,A,Fall 2024
4361,BUS201,B+,Fall 2024
382,PSYCH101,F,Spring 2024
1237,CHEM101,A,Spring 2024
2381,POLI201,F,Spring 2024
3780,MATH201,B+,Fall 2024
2106,ARCH101,C,Spring 2024
1518,HIST101,B,Spring 2024
1534,PHYS101,B+,Spring 2024
3295,ART101,D,Spring 2024
3441,MUS101,F,Fall 2024
3490,ENG101,A,Spring 2024
3946,MUS101,F,Fall 2024
4643,MATH201,D,Fall 2024
871,CS101,B,Spring 2024
2151,ARCH101,D,Spring 2024
3233,HIST101,C,Spring 2024
3232,PSYCH101,F,Fall 2024
3767,BIO101,C,Spring 2024
4961,MATH201,C+,Spring 2024
3208,BIO101,B,Spring 2024
4494,ECON201,B+,Fall 2024
4488,CHEM101,C,Spring 2024
3827,ARCH101,B+,Fall 2024
1613,MKT101,F,Fall 2024
1078,HIST101,B+,Fall 2024
1301,HIST101,F,Spring 2024
2159,ACC101,A,Spring 2024
2272,ENG101,D,Fall 2024
2530,MATH201,B+,Spring 2024
3261,FIN201,F,Fall 2024
364,CS101,C+,Spring 2024
846,MKT101,B,Spring 2024
3033,ART101,B,Spring 2024
1328,MUS101,A,Fall 2024
3163,ENG101,C+,Spring 2024
392,MKT101,D,Fall 2024
3256,SOC101,C+,Spring 2024
2060,LIT201,F,Spring 2024
3238,MKT101,B,Spring 2024
2047,CS101,C+,Spring 2024
4242,ENG101,D,Fall 2024
1306,BUS201,C,Fall 2024
2895,CHEM101,B+,Spring 2024
2033,POLI201,F,Fall 2024
765,PHYS101,B+,Fall 2024
499,FIN201,B,Fall 2024
3369,CS101,B,Spring 2024
2945,ARCH101,D,Spring 2024
3805,POLI201,C+,Spring 2024
4214,PSYCH101,D,Spring 2024
4461,POLI201,A,Fall 2024
136,CS101,B,Fall 2024
1101,CS101,F,Spring 2024
1872,ECON201,F,Spring 2024
4034,POLI201,B,Spring 2024
4114,PHIL101,B,Fall 2024
4013,PHIL101,D,Spring 2024
205,HIST101,F,Spring 2024
4595,FIN201,D,Spring 2024
2372,CS101,C+,Fall 2024
4691,MATH201,C,Spring 2024
562,ENG101,B,Fall 2024
3315,PSYCH101,C,Spring 2024
3961,MATH201,D,Spring 2024
2527,ECON201,C+,Spring 2024
2212,MKT101,D,Fall 2024
2372,SOC101,A,Spring 2024
