CustomerID,Reacquire,Lifetime2,LifetimeValue2,Lifetime1,Offer,Lapse,PriceChange,Gender,Age
1,Yes,766,1404.8996219,609,30,152,-8.97,Female,37
119,Yes,623,1146.1161893,490,25,63,-1.36,Female,58
120,No,0,-5,95,20,144,-25.12,Female,61
121,No,0,-5,147,30,64,15.95,Female,64
122,No,0,-5,182,20,186,-11.24,Male,53
123,Yes,273,613.77134051,182,25,12,0,Male,62
124,Yes,562,1195.375005,452,30,86,0,Male,40
125,Yes,992,1611.7484846,966,25,63,26.37,Male,62
126,No,0,-5,205,30,169,-9.63,Female,26
127,No,0,-5,109,20,155,0,Female,33
128,Yes,985,1599.8475195,836,20,118,-2.86,Male,67
129,No,0,-5,452,25,154,0,Male,63
130,Yes,990,1806.1586379,794,30,81,0,Female,36
131,No,0,-5,221,20,81,-2.21,Female,39
132,Yes,496,996.25767031,454,25,32,9.98,Male,52
133,No,0,-5,99,20,35,-38.26,Female,42
134,Yes,301,817.93630714,382,20,41,13.56,Female,70
135,Yes,718,1271.0396163,649,20,123,3.84,Male,40
136,Yes,923,1607.7090045,581,30,62,-25.24,Male,68
137,Yes,510,966.06454113,475,20,153,0,Female,51
138,Yes,1060,1918.3435395,1047,25,144,25.28,Male,39
139,Yes,939,1524.2017875,667,25,39,0,Female,28
140,No,0,-5,206,20,125,-6.68,Female,28
141,Yes,620,1160.0213725,506,30,120,0,Female,52
142,Yes,977,1722.9619426,556,20,16,-28.48,Female,41
143,Yes,499,1100.5607439,332,20,12,-14.73,Male,72
144,No,0,-5,110,30,161,0,Male,52
145,No,0,-5,421,20,162,20.05,Male,65
146,Yes,550,1081.3467756,538,25,131,-0.54,Male,72
147,No,0,-5,143,30,141,33.38,Female,40
148,Yes,966,1782.825614,697,30,69,-17.67,Female,65
149,No,0,-5,162,20,54,10.31,Female,65
150,Yes,804,1440.8585253,813,20,37,26.11,Male,66
151,No,0,-5,338,20,130,12.75,Female,73
152,Yes,1013,1774.7995324,912,20,65,17.3,Female,35
153,Yes,326,672.99748592,223,30,92,0,Female,44
154,Yes,498,986.63492948,425,20,75,0,Female,55
155,Yes,116,353.80502657,102,25,35,12.93,Male,50
156,Yes,149,512.92688293,128,30,80,0,Male,62
157,No,0,-5,261,30,155,36.29,Male,39
158,No,0,-5,267,20,95,-7.4,Female,71
159,No,0,-5,116,20,145,0,Male,65
160,Yes,592,1174.4130987,438,20,37,-0.8,Female,36
161,Yes,530,1118.1617261,414,20,80,0,Male,26
162,Yes,23,248.95672031,86,25,36,13.87,Female,73
163,Yes,953,1745.9780964,804,20,112,0,Female,35
164,Yes,769,1367.1558026,592,20,45,-5.85,Female,62
165,Yes,262,624.1269441,217,30,36,5.88,Female,59
166,No,0,-5,393,25,89,0,Male,45
167,Yes,572,1022.9902618,537,20,77,14.24,Male,40
168,Yes,315,742.85313366,343,30,102,15.25,Female,47
169,No,0,-5,391,20,131,8.06,Female,66
170,Yes,648,1113.3081911,393,30,20,-12.19,Male,75
171,No,0,-5,137,30,145,-11,Male,66
172,No,0,-5,106,20,133,0,Male,43
173,No,0,-5,553,20,112,-36.76,Female,58
174,Yes,339,594.57453243,296,30,105,0,Male,71
175,Yes,860,1513.293714,643,25,134,-17.57,Female,61
176,No,0,-5,88,20,91,-1.68,Female,53
177,Yes,783,1407.3594699,734,30,47,19.46,Male,55
178,Yes,943,1623.5435842,742,30,102,2.15,Male,41
179,Yes,16,175.72894507,223,30,92,41.04,Female,33
180,Yes,802,1578.9768739,726,30,161,0,Male,39
181,Yes,419,847.70649319,197,30,66,-12.16,Female,39
182,Yes,489,971.2913255,383,20,35,0,Female,50
183,No,0,-5,256,25,143,17.22,Female,42
184,Yes,534,982.23732713,426,30,24,0,Male,71
185,No,0,-5,466,20,118,0,Female,70
186,Yes,309,628.19389328,92,25,33,-9.57,Female,36
187,No,0,-5,102,20,85,33.59,Male,63
188,No,0,-5,109,20,95,0,Female,69
189,No,0,-5,205,25,51,0,Male,73
190,Yes,175,522.85492273,100,25,13,0.74,Female,59
191,No,0,-5,158,20,88,1.04,Female,63
192,Yes,631,1293.5025438,507,25,108,-14.73,Female,70
193,No,0,-5,108,25,108,-40.59,Female,29
194,Yes,690,1451.717924,572,25,59,0,Male,37
195,No,0,-5,193,20,94,0,Female,69
196,Yes,950,1627.2607168,719,30,95,0,Female,36
197,Yes,745,1326.7463036,525,30,131,-16.39,Male,50
198,Yes,1233,2111.9347889,1047,20,101,0,Female,49
199,Yes,633,1267.1121701,517,20,24,0,Male,47
200,No,0,-5,349,20,88,14.67,Female,36
201,No,0,-5,265,20,122,-14.25,Male,36
202,No,0,-5,74,20,45,-13.27,Male,38
203,No,0,-5,362,25,151,-10.63,Female,27
204,Yes,374,762.27203077,486,30,19,37.43,Female,62
205,No,0,-5,230,20,118,-4.16,Male,45
206,Yes,67,396.55704564,72,30,60,0,Female,67
207,Yes,940,1740.9310461,730,30,31,-8.55,Female,71
208,Yes,629,1097.6711691,568,20,94,0,Female,67
209,Yes,252,630.2586679,308,20,108,19.01,Female,39
210,No,0,-5,299,30,139,-4.1,Female,73
211,Yes,869,1544.83255,648,30,64,0,Female,50
212,No,0,-5,239,25,172,0,Female,55
213,Yes,525,999.81422342,544,20,119,17.34,Female,26
214,Yes,353,839.61974312,387,30,117,0,Female,70
215,Yes,511,1007.0080761,591,30,119,27.83,Female,43
216,Yes,710,1309.8433428,544,20,67,0,Male,39
217,No,0,-5,316,20,75,0,Female,47
218,Yes,815,1454.5044703,747,25,64,21.12,Female,42
219,Yes,484,903.43555004,436,30,110,0,Female,67
220,Yes,484,1021.7636533,364,30,42,0,Female,50
221,No,0,-5,356,30,97,2.68,Male,34
222,Yes,583,1072.2846695,670,30,61,32.46,Male,56
223,Yes,884,1451.3615493,812,30,178,9.23,Male,56
224,Yes,458,981.36339988,438,20,119,0,Female,73
225,Yes,289,686.27200969,158,20,65,0,Female,27
226,Yes,722,1299.0976546,583,30,79,0,Male,46
227,No,0,-5,68,20,162,-23.73,Female,56
228,No,0,-5,174,30,133,0,Female,41
229,Yes,1292,2155.1460959,1135,20,168,3.89,Female,37
230,Yes,475,983.04839903,315,20,40,-3.79,Female,32
231,No,0,-5,396,20,168,22.39,Male,60
232,Yes,1407,2379.9283275,1003,20,46,-24.57,Female,65
233,No,0,-5,248,25,96,8.1,Male,25
234,Yes,384,785.60735509,558,30,181,34.57,Male,30
235,Yes,872,1613.182316,726,30,108,0,Male,43
236,Yes,236,524.89010755,268,20,96,22.09,Female,29
237,Yes,669,1158.2205264,336,30,104,-23.41,Male,39
238,Yes,331,830.9261158,281,30,123,0,Female,44
239,Yes,702,1250.8668766,671,25,130,8.95,Female,63
240,No,0,-5,286,20,153,29.86,Male,54
241,No,0,-5,165,20,103,0,Female,69
242,No,0,-5,148,30,41,0,Female,74
243,Yes,136,454.32807424,216,30,92,14.87,Female,72
244,Yes,439,935.81754045,419,25,26,9.87,Female,63
245,Yes,203,516.50154606,121,30,65,0,Female,31
246,Yes,836,1473.4959234,655,30,153,-5.72,Male,47
247,Yes,483,946.07224155,606,20,143,32.01,Female,27
248,Yes,433,802.40515727,328,25,102,-3.27,Female,52
249,Yes,740,1232.599305,690,25,60,21.99,Male,52
250,No,0,-5,261,25,84,0,Female,50
251,Yes,489,904.52017894,634,20,144,29.25,Female,48
252,Yes,883,1575.2305835,627,30,61,0,Male,26
253,Yes,637,1135.2785219,602,25,145,4.58,Female,59
254,Yes,830,1545.6847614,445,30,84,-41.21,Female,69
255,Yes,380,785.88262703,552,20,76,29.24,Female,64
256,Yes,238,682.08004009,266,30,42,16.59,Female,37
257,No,0,-5,70,20,80,-31.15,Male,67
258,Yes,813,1361.1323268,741,20,118,17.78,Female,28
259,No,0,-5,347,25,170,0,Male,45
260,Yes,882,1761.2336608,656,30,47,-6.47,Male,31
261,No,0,-5,431,20,135,0,Male,61
262,Yes,616,1228.5495222,500,30,124,5.32,Male,35
263,No,0,-5,140,25,97,21.55,Male,53
264,No,0,-5,157,20,45,0,Female,61
265,Yes,337,798.45070214,265,25,113,1.68,Female,38
266,Yes,309,669.41575682,396,25,104,25.04,Female,37
267,Yes,411,852.55446458,247,30,83,0,Male,31
268,Yes,709,1195.3141001,640,25,8,23.94,Female,29
269,Yes,299,802.55843415,307,20,62,0,Female,62
270,Yes,846,1542.5906365,931,25,123,35.01,Male,46
271,Yes,347,738.89557423,203,20,51,0,Female,34
272,Yes,1194,2038.2404175,979,30,100,-1.23,Female,54
273,Yes,1043,1885.161691,1035,25,122,18.7,Male,68
274,Yes,571,1157.503327,497,30,70,4.34,Female,53
275,No,0,-5,284,25,141,14.98,Female,26
276,No,0,-5,306,25,81,-14.15,Male,51
277,No,0,-5,142,20,141,3.63,Female,68
278,Yes,1426,2383.946022,1031,30,74,-11.28,Male,33
279,Yes,212,556.53105807,167,25,46,0,Male,61
280,No,0,-5,210,20,155,0,Female,27
281,No,0,-5,296,25,100,-23.57,Male,28
282,Yes,608,1082.1703973,388,20,20,0,Female,33
283,No,0,-5,110,30,146,19.38,Female,31
284,Yes,703,1187.9670575,518,20,94,-4.17,Female,51
285,Yes,897,1534.4144145,789,20,99,0,Female,68
286,Yes,1124,1955.025525,787,20,34,-16.2,Female,43
287,Yes,465,874.30006887,312,20,76,0,Female,28
288,No,0,-5,451,20,96,33.56,Male,36
289,Yes,742,1363.4249147,621,20,44,0,Female,51
290,Yes,651,1287.3990974,570,25,132,-5.57,Female,55
291,No,0,-5,433,20,115,3,Male,60
292,Yes,957,1691.8661444,804,25,59,9.17,Male,41
293,Yes,453,969.86645846,469,30,158,3.04,Female,42
294,No,0,-5,160,20,171,2.84,Female,63
295,No,0,-5,221,30,93,23.23,Male,72
296,Yes,796,1422.157535,657,25,144,-10.83,Male,62
297,No,0,-5,422,20,167,7.32,Male,34
298,No,0,-5,284,20,56,0,Male,65
299,No,0,-5,206,25,145,31.78,Female,26
300,Yes,513,1027.0597751,531,20,164,8.15,Female,36
301,Yes,740,1263.1323642,635,30,114,0,Male,61
302,Yes,739,1488.7040617,516,25,64,-8.94,Male,27
303,No,0,-5,413,25,136,0,Male,46
304,No,0,-5,79,30,110,12.2,Male,35
305,No,0,-5,331,20,68,13.75,Female,58
306,No,0,-5,117,25,110,8.8,Female,37
307,No,0,-5,74,25,74,0,Female,43
308,No,0,-5,600,30,147,0,Female,71
309,Yes,834,1403.5029464,646,30,41,0,Female,70
310,Yes,702,1378.6150855,627,30,107,2.82,Male,57
311,Yes,790,1385.3787472,485,20,47,-15.81,Female,37
312,Yes,560,1051.9813499,411,20,90,0,Female,25
313,No,0,-5,252,20,152,27.66,Male,59
314,No,0,-5,318,20,141,0,Female,60
315,No,0,-5,218,25,111,0,Female,47
316,Yes,331,871.40512577,374,20,73,13.99,Female,47
317,No,0,-5,263,30,190,0,Female,54
318,No,0,-5,206,25,137,0,Male,40
319,Yes,572,1098.2483948,391,30,182,-8.24,Female,36
320,No,0,-5,93,20,98,-13.78,Female,42
321,Yes,486,987.53894038,481,25,95,0,Female,72
322,Yes,457,999.3202107,547,30,54,19.18,Male,71
323,No,0,-5,132,25,72,7.67,Female,48
324,Yes,913,1593.4349156,751,20,94,3.55,Male,41
325,No,0,-5,183,25,148,0,Male,48
326,Yes,418,871.45795329,405,30,44,12.31,Male,72
327,Yes,360,835.07546025,276,30,83,-2.81,Male,40
328,Yes,437,841.30814039,172,25,72,-18.66,Female,45
329,No,0,-5,388,25,101,24.79,Female,39
330,No,0,-5,289,20,179,0,Female,74
331,Yes,827,1480.8769005,693,20,114,-4.78,Female,52
332,No,0,-5,183,20,115,-21.15,Female,30
333,No,0,-5,148,20,95,0,Male,54
334,Yes,702,1241.5969316,375,25,120,-27.88,Female,27
335,Yes,637,1326.2285229,623,25,141,0,Female,65
336,No,0,-5,219,30,123,0,Female,68
337,No,0,-5,180,30,108,36.8,Male,75
338,No,0,-5,194,30,144,-24.47,Male,26
339,Yes,963,1694.3292757,881,25,148,4.47,Female,53
340,No,0,-5,85,20,48,0,Male,65
341,No,0,-5,163,25,104,0,Female,64
342,No,0,-5,149,30,146,-29.77,Female,46
343,Yes,1203,2018.5651489,945,20,49,0,Male,55
344,No,0,-5,242,30,149,1.48,Male,62
345,Yes,1244,2147.9838346,995,25,89,0,Male,27
346,Yes,436,837.91146198,366,20,86,4.44,Female,38
347,Yes,572,1135.2373164,652,20,34,32.02,Female,49
348,Yes,404,821.09486046,438,25,107,24.32,Female,30
349,No,0,-5,298,20,137,0,Male,71
350,Yes,769,1449.6439445,619,30,61,0,Female,55
351,Yes,760,1427.6939395,637,30,107,0,Male,52
352,No,0,-5,92,20,157,0,Female,26
353,Yes,990,1758.6304533,718,30,93,-11.97,Male,51
354,Yes,818,1494.4085299,521,20,74,-24.02,Female,48
355,No,0,-5,176,30,105,0,Female,62
356,No,0,-5,188,20,111,0,Male,63
357,Yes,195,624.12519492,186,30,75,0,Female,56
358,Yes,1262,2216.7026549,951,20,33,-10.45,Female,46
359,No,0,-5,494,20,190,0,Female,66
360,Yes,741,1301.8246122,639,25,109,0,Male,68
361,Yes,470,871.74330127,427,30,144,6.55,Male,58
362,No,0,-5,375,25,134,0,Male,29
363,Yes,953,1467.1609632,729,20,40,0,Male,51
364,Yes,325,639.73963357,374,20,57,24.25,Female,51
365,No,0,-5,295,20,164,0,Male,73
366,Yes,827,1438.1583352,637,20,131,-9.18,Female,42
367,Yes,930,1556.624249,758,30,69,0,Male,68
368,Yes,369,812.92476703,237,25,77,0,Male,32
369,Yes,598,1119.0376517,479,30,104,0,Female,41
370,Yes,456,870.46152641,207,20,51,-14.61,Female,27
371,Yes,117,425.32017672,204,30,83,24.03,Female,27
372,No,0,-5,147,30,44,-13.09,Female,70
373,No,0,-5,446,30,137,0,Female,58
374,Yes,609,1156.2648861,602,30,148,0,Female,67
375,Yes,613,1132.5377511,427,25,76,0,Female,25
376,Yes,773,1379.7719065,588,30,116,0,Male,27
377,Yes,500,1071.3117266,388,20,76,0,Female,30
378,Yes,370,730.9747674,203,20,79,0,Male,32
379,Yes,429,900.71258695,301,20,63,-10.26,Female,60
380,No,0,-5,132,30,137,8.74,Male,50
381,Yes,640,1156.2660717,572,25,122,0,Female,73
382,No,0,-5,189,20,158,11.56,Male,65
383,Yes,439,936.65370981,453,20,75,20.64,Female,28
384,No,0,-5,138,20,90,0,Female,30
385,No,0,-5,95,20,101,-39.26,Female,47
386,No,0,-5,74,25,153,0,Female,40
387,No,0,-5,112,30,82,0,Male,48
388,No,0,-5,132,30,135,0,Male,35
389,Yes,1155,2059.2202965,902,20,120,-17.94,Female,49
390,Yes,1088,1802.3736796,852,30,137,0,Male,34
391,Yes,557,1184.5875057,392,25,64,0,Male,29
392,No,0,-5,625,25,172,-19.57,Female,56
393,No,0,-5,65,25,106,0,Female,36
394,Yes,984,1769.6656504,831,20,36,0,Male,50
395,Yes,1133,1918.4386083,851,30,114,-6.05,Female,46
396,Yes,150,444.36838826,90,20,47,5.2,Female,29
397,Yes,582,1219.3168995,426,30,175,-15.49,Female,35
398,No,0,-5,103,30,115,0,Male,66
399,Yes,1056,1911.9440476,684,20,89,-31.43,Female,34
400,Yes,1371,2321.2716174,997,30,141,-18.62,Male,35
401,Yes,489,979.11649209,358,30,112,-12.62,Male,65
402,Yes,713,1204.597062,515,20,68,0,Female,38
403,No,0,-5,182,30,158,5.65,Female,43
404,Yes,934,1596.4752076,656,30,35,0,Male,34
405,No,0,-5,98,25,176,-2.31,Male,46
406,No,0,-5,254,30,140,20.13,Female,68
407,Yes,521,972.9545962,453,20,107,2.21,Male,53
408,No,0,-5,82,30,165,-11.94,Male,60
409,No,0,-5,465,30,136,9.63,Female,71
410,Yes,1204,2106.0859122,952,20,59,0,Male,35
411,Yes,1195,1973.0537348,973,25,110,3.38,Male,30
412,Yes,742,1332.5304784,646,30,188,-4.06,Male,56
413,Yes,753,1318.3923973,603,20,67,0,Female,74
414,Yes,763,1419.7030954,640,25,41,0,Female,68
415,No,0,-5,454,20,176,-11.72,Male,58
416,Yes,325,674.36473592,365,25,81,6.85,Female,74
417,No,0,-5,300,25,142,33.29,Male,64
418,Yes,884,1770.6661886,757,30,90,0,Male,52
419,Yes,1213,2112.4736869,871,20,172,-30.76,Female,50
420,Yes,490,902.22070686,341,30,60,0,Male,64
421,No,0,-5,229,20,138,0,Male,63
422,Yes,746,1373.3259203,566,20,59,0,Male,33
423,No,0,-5,281,25,88,21.92,Female,56
424,Yes,838,1429.5378029,728,30,125,3.58,Male,61
425,No,0,-5,139,20,64,15.66,Male,41
426,Yes,1189,2023.2502525,872,20,17,0,Male,30
427,Yes,334,677.56302207,249,30,73,4.41,Male,50
428,Yes,693,1273.2814495,466,25,17,-7.17,Female,46
429,No,0,-5,347,20,121,0,Male,33
430,No,0,-5,580,20,114,-35.92,Female,69
431,No,0,-5,161,25,75,-3.57,Female,73
432,No,0,-5,140,30,108,0,Female,74
433,Yes,244,630.48090042,119,20,63,0,Male,30
434,Yes,1041,1786.9227058,703,30,199,-28.45,Male,42
435,No,0,-5,228,20,146,0,Female,49
436,Yes,923,1632.2412823,691,30,136,-8.88,Male,46
437,Yes,472,976.07044868,478,20,43,18.18,Female,42
438,No,0,-5,303,30,107,0,Male,29
439,No,0,-5,355,20,59,-29.2,Male,70
440,Yes,1166,1938.5810183,1005,20,116,0,Female,62
441,Yes,419,880.99857842,457,30,76,10.79,Female,62
442,No,0,-5,283,25,153,0,Male,50
443,Yes,796,1484.6615499,564,25,53,-14.01,Female,71
444,No,0,-5,231,25,162,7.58,Male,68
445,Yes,521,929.64637959,404,25,119,0,Female,34
446,No,0,-5,133,30,70,0,Male,66
447,No,0,-5,262,30,143,0,Female,64
448,No,0,-5,514,25,123,0,Male,72
449,Yes,561,1066.8738653,622,25,63,19.21,Female,70
450,Yes,275,608.59808252,181,25,13,4.12,Female,41
451,No,0,-5,63,20,97,2.07,Male,37
452,No,0,-5,60,25,102,0,Female,68
453,No,0,-5,555,20,147,11.86,Female,71
454,Yes,337,756.17893273,318,20,104,8.2,Male,54
455,No,0,-5,62,30,168,0,Male,51
456,No,0,-5,473,20,106,0,Female,74
457,No,0,-5,591,25,157,0,Male,46
458,Yes,1122,1976.5882193,876,20,61,-4.99,Male,48
459,No,0,-5,71,20,87,0,Male,30
460,No,0,-5,181,20,150,-0.54,Female,44
461,No,0,-5,383,30,137,12.69,Female,66
462,Yes,564,958.23302996,464,20,143,5.2,Male,30
463,No,0,-5,303,30,154,14.31,Male,59
464,No,0,-5,102,20,117,0.32,Male,47
465,Yes,1161,2003.255855,728,20,35,-33.02,Male,65
466,No,0,-5,458,30,177,22.28,Male,73
467,No,0,-5,589,20,192,3.35,Female,42
468,No,0,-5,153,20,147,0,Female,66
469,No,0,-5,181,30,91,-18.18,Female,44
470,No,0,-5,179,20,63,25.92,Male,31
471,No,0,-5,308,20,124,41.25,Male,60
472,Yes,348,747.61817753,226,25,74,0,Male,42
473,Yes,108,370.28933797,241,25,30,26.33,Male,72
474,No,0,-5,77,30,125,16.71,Male,39
475,No,0,-5,270,20,34,0,Female,54
476,No,0,-5,416,30,158,-4.5,Female,63
477,No,0,-5,63,25,64,16.48,Male,40
478,Yes,703,1178.9257725,753,20,37,34.45,Male,29
479,Yes,308,684.0592672,414,30,116,24.16,Male,36
480,No,0,-5,128,20,125,0,Female,30
481,Yes,1038,1993.4312767,572,25,87,-41.76,Male,32
482,Yes,664,1256.9501737,520,30,64,8.32,Male,30
483,No,0,-5,245,30,107,0,Female,46
484,No,0,-5,321,30,161,0,Female,36
485,Yes,978,1672.5428646,660,30,85,-12.85,Female,37
486,Yes,1253,2161.4680714,980,20,164,-14.8,Female,39
487,Yes,705,1265.4176047,527,25,61,0,Female,39
488,No,0,-5,316,20,167,22.16,Male,43
489,Yes,775,1369.3557121,659,20,113,-6.09,Male,65
490,Yes,641,1269.7145022,452,30,73,-5.57,Male,31
491,Yes,725,1254.4208799,650,20,68,0,Female,75
492,Yes,655,1247.8153568,687,25,118,17.24,Female,43
493,Yes,269,676.10593522,147,30,43,-5.6,Male,56
494,No,0,-5,202,25,96,-14.36,Female,30
495,No,0,-5,83,20,152,11.67,Female,59
496,Yes,905,1714.5192196,722,25,62,0,Male,44
497,No,0,-5,319,20,152,0,Female,45
498,No,0,-5,189,20,132,2.36,Male,30
499,Yes,709,1298.0728232,539,20,73,0,Female,34
500,No,0,-5,474,20,119,-6.03,Female,54
