"Amount","DaysSinceStart","Industry","SuperIndustry","Internet","CZIP","MZIP","ID","Merchant","Distance"
129.45,290,"Eating Places","Accommodations and Food Services","No",10583,"06830",37783,"M331",8
9.65,242,"Book Stores","Sporting Goods and Hobby","No",10583,"10607",37783,"M340",3
38.6,231,"Book Stores","Sporting Goods and Hobby","Yes",10583,"07094",37783,"M340",17
71.85,33,"Men's Apparel","Apparel and Accessories","No",10583,"10917",37783,"M343",26
110.49,340,"Home Furnishings / Furniture","General Merchandise Stores","No",10583,"10710",37783,"M382",3
47.96,376,"Home Furnishings / Furniture","General Merchandise Stores","Yes",10583,"07512",37783,"M382",20
76.03,282,"Home Furnishings / Furniture","General Merchandise Stores","No",10583,"11803",37783,"M382",19
184.22,164,"Consumer Electronics / Appliances","Consumer Electronics and Computers","No",10583,"10710",37783,"M410",3
268.42,310,"Consumer Electronics / Appliances","Consumer Electronics and Computers","No",10583,"10530",37783,"M410",2
86.69,248,"Consumer Electronics / Appliances","Consumer Electronics and Computers","No",10583,"10710",37783,"M410",3
14.07,319,"Consumer Electronics / Appliances","Consumer Electronics and Computers","No",10583,"10710",37783,"M410",3
56.33,241,"Consumer Electronics / Appliances","Consumer Electronics and Computers","No",10583,"10710",37783,"M410",3
53.92,184,"Department Stores","General Merchandise Stores","No",10583,"10605",37783,"M468",3
88.22,303,"Department Stores","General Merchandise Stores","No",10583,"10605",37783,"M468",3
122.34,310,"Department Stores","General Merchandise Stores","No",10583,"60611",37783,"M468",625
1,346,"Family Apparel","Apparel and Accessories","Yes",10583,"10018",37783,"M473",17
407.38,346,"Family Apparel","Apparel and Accessories","Yes",10583,"10018",37783,"M473",17
8.13,66,"Women's Apparel","Apparel and Accessories","No",10583,"10601",37783,"M535",3
51.51,429,"Automotive Fuel","Motor Vehicles","No",10583,"08817",37783,"M544",39
5,415,"Automotive Fuel","Motor Vehicles","No",10583,"11548",37783,"M544",13
74,415,"Automotive Fuel","Motor Vehicles","No",10583,"11548",37783,"M544",13
5,415,"Automotive Fuel","Motor Vehicles","No",10583,"11548",37783,"M544",13
5,429,"Automotive Fuel","Motor Vehicles","No",10583,"08817",37783,"M544",39
5,429,"Automotive Fuel","Motor Vehicles","No",10583,"08817",37783,"M544",39
94.49,254,"Men's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M548",0
37.91,240,"Family Apparel","Apparel and Accessories","No",10583,"10710",37783,"M583",3
12.33,23,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
17.14,181,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
8.57,73,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
14.99,290,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
4.82,109,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
45.36,81,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
16.09,9,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
28.94,213,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
17.57,37,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
238.41,323,"Children's Apparel","Apparel and Accessories","Yes",10583,"07512",37783,"M593",20
37.56,132,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
15.5,243,"Children's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M593",0
7.55,90,"Clothing, Uniform, Costume Rental","Real Estate, Rental and Leasing","Yes",10583,"53151",37783,"M596",650
42.78,90,"Clothing, Uniform, Costume Rental","Real Estate, Rental and Leasing","Yes",10583,"53151",37783,"M596",650
20.63,205,"Eating Places","Accommodations and Food Services","No",10583,"10583",37783,"M619",0
36.78,433,"Eating Places","Accommodations and Food Services","No",10583,"10583",37783,"M619",0
53.15,312,"Eating Places","Accommodations and Food Services","No",10583,"10583",37783,"M619",0
1,222,"Eating Places","Accommodations and Food Services","Yes",10583,"08543",37783,"M619",56
21.99,316,"Eating Places","Accommodations and Food Services","No",10583,"10502",37783,"M686",3
33.38,263,"Eating Places","Accommodations and Food Services","No",10583,"10601",37783,"M743",3
50.99,226,"Eating Places","Accommodations and Food Services","No",10583,"10601",37783,"M743",3
47.41,121,"Eating Places","Accommodations and Food Services","No",10583,"10601",37783,"M743",3
2.14,431,"Variety / General Merchandise Stores","General Merchandise Stores","No",10583,"10530",37783,"M772",2
2.15,169,"Variety / General Merchandise Stores","General Merchandise Stores","No",10583,"10530",37783,"M772",2
8.57,452,"Variety / General Merchandise Stores","General Merchandise Stores","No",10583,"10530",37783,"M772",2
5,164,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,149,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,128,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,456,"Automotive Fuel","Motor Vehicles","No",10583,"11803",37783,"M791",19
5,164,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,456,"Automotive Fuel","Motor Vehicles","No",10583,"11803",37783,"M791",19
5,149,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,276,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,204,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,307,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
68.59,307,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,1,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
65.01,456,"Automotive Fuel","Motor Vehicles","No",10583,"11803",37783,"M791",19
5,211,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
37.68,351,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,113,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
60,204,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,307,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,205,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,204,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,128,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,205,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
44.16,124,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,351,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
52.03,205,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
54.02,211,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,124,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
38.67,241,"Automotive Fuel","Motor Vehicles","No",10583,"11803",37783,"M791",19
5,113,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
47.01,128,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,241,"Automotive Fuel","Motor Vehicles","No",10583,"11803",37783,"M791",19
46,113,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,124,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,351,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
59.53,276,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
48.02,149,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,276,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,211,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
56.45,164,"Automotive Fuel","Motor Vehicles","No",10583,"10583",37783,"M791",0
5,241,"Automotive Fuel","Motor Vehicles","No",10583,"11803",37783,"M791",19
61.58,272,"Family Apparel","Apparel and Accessories","No",10583,"10012",37783,"M819",18
192.91,319,"Shoe Stores","Apparel and Accessories","No",10583,"10601",37783,"M833",3
5,76,"Automotive Fuel","Motor Vehicles","No",10583,"06880",37783,"M861",22
818.94,219,"T+E Airlines","Transportation and Warehousing","Yes",10583,"77002",37783,"M869",1248
1,219,"T+E Airlines","Transportation and Warehousing","No",10583,"77002",37783,"M869",1248
1,219,"T+E Airlines","Transportation and Warehousing","No",10583,"77002",37783,"M869",1248
11,249,"T+E Airlines","Transportation and Warehousing","No",10583,"77002",37783,"M869",1248
48.7,335,"Shoe Stores","Apparel and Accessories","Yes",10583,"80503",37783,"M928",1427
19.21,60,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
13.58,24,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
21.42,290,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
31.09,315,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
42.83,48,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
22.3,424,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
30.13,3,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
19.18,455,"Drug Store Chains","Health and Personal Care Stores","No",10583,"11803",37783,"M955",19
22.16,345,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
12.86,282,"Drug Store Chains","Health and Personal Care Stores","No",10583,"11803",37783,"M955",19
18.53,197,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
17.34,283,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
14.19,312,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
29.17,14,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
38.58,326,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
17.6,162,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10605",37783,"M955",3
24.15,313,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
20.84,36,"Drug Store Chains","Health and Personal Care Stores","No",10583,"06880",37783,"M955",22
14.29,316,"Drug Store Chains","Health and Personal Care Stores","No",10583,"06897",37783,"M955",21
6.79,367,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
7.98,346,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10502",37783,"M955",3
10.72,276,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10502",37783,"M955",3
8.12,291,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
18.08,221,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
36.99,198,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
14.37,324,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
15,167,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
45.85,3,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
41.47,437,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
37.56,87,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10502",37783,"M955",3
25,188,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
40,313,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
9.65,215,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10502",37783,"M955",3
146.14,360,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
3.53,93,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
9.63,48,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
27.86,294,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
26.8,32,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10502",37783,"M955",3
36.88,304,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
138.31,416,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
76.68,389,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
15.01,420,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10502",37783,"M955",3
34.66,167,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
19.84,319,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
15,240,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
6.43,298,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
12.35,303,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
52.07,254,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
19.44,135,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10605",37783,"M955",3
12.77,42,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
41.49,248,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
23.75,226,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10605",37783,"M955",3
51.03,19,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
29.07,396,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
25,60,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
40.36,81,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
19.49,388,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
58.86,212,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10583",37783,"M955",0
833.72,346,"Computer / Software Stores","Consumer Electronics and Computers","No",10583,"78682",37783,"M1008",1318
159,166,"Computer / Software Stores","Consumer Electronics and Computers","No",10583,"78682",37783,"M1008",1318
20,312,"Women's Apparel","Apparel and Accessories","No",10583,"10605",37783,"M1022",3
73.57,271,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
26.37,218,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
137.98,149,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
142.78,415,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
54.31,179,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
95.72,213,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
119.43,310,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
56,383,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
73.14,242,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
54.42,376,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
70.58,348,"Children's Apparel","Apparel and Accessories","Yes",10583,"07302",37783,"M1036",19
9.92,287,"Miscellaneous Publishing Industries","Information","No",10583,"01020",37783,"M1101",90
9.92,441,"Miscellaneous Publishing Industries","Information","No",10583,"01020",37783,"M1101",90
9.92,411,"Miscellaneous Publishing Industries","Information","No",10583,"01020",37783,"M1101",90
9.92,378,"Miscellaneous Publishing Industries","Information","No",10583,"01020",37783,"M1101",90
9.92,350,"Miscellaneous Publishing Industries","Information","No",10583,"01020",37783,"M1101",90
9.92,317,"Miscellaneous Publishing Industries","Information","No",10583,"01020",37783,"M1101",90
9.92,257,"Miscellaneous Publishing Industries","Information","No",10583,"01020",37783,"M1101",90
55.8,93,"Health/Beauty/Medical Supplies","Health and Personal Care Stores","Yes",10583,"98004",37783,"M1108",2088
23.97,344,"Drug Store Chains","Health and Personal Care Stores","No",10583,"10018",37783,"M1112",17
8.23,270,"Eating Places","Accommodations and Food Services","No",10583,"10523",37783,"M1120",4
8.77,399,"Eating Places","Accommodations and Food Services","No",10583,"10522",37783,"M1120",3
2.24,83,"Eating Places","Accommodations and Food Services","No",10583,"10583",37783,"M1120",0
9.69,217,"Eating Places","Accommodations and Food Services","No",10583,"10583",37783,"M1120",0
40,198,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
35,457,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
30,285,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
35,33,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
35,41,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
35,46,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
50,382,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
30,327,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
30,312,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
30,296,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
35,81,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
30,277,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
50,421,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
35,61,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
30,255,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
40,164,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
50,355,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
80,98,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
35,27,"Other Transportation Services","Transportation and Warehousing","No",10583,"10314",37783,"M1128",28
82.62,153,"Sporting Goods / Apparel / Footwear","Sporting Goods and Hobby","Yes",10583,"54401",37783,"M1134",736
55,313,"Shoe Stores","Apparel and Accessories","Yes",10583,"19007",37783,"M1138",72
83.45,264,"Grocery Stores","Grocery and Food Stores","No",10583,"10705",37783,"M1155",6
63.07,193,"Automotive Fuel","Motor Vehicles","No",10583,"10601",37783,"M1246",3
25.02,222,"Automotive Fuel","Motor Vehicles","No",10583,"06840",37783,"M1246",17
5,79,"Automotive Fuel","Motor Vehicles","No",10583,"06840",37783,"M1246",17
15.02,155,"Automotive Fuel","Motor Vehicles","No",10583,"10530",37783,"M1246",2
5,204,"Automotive Fuel","Motor Vehicles","No",10583,"06831",37783,"M1246",8
5,48,"Automotive Fuel","Motor Vehicles","No",10583,"06831",37783,"M1246",8
50.11,328,"Automotive Fuel","Motor Vehicles","No",10583,"11561",37783,"M1246",25
5,324,"Automotive Fuel","Motor Vehicles","No",10583,"11577",37783,"M1246",14
52.24,286,"Automotive Fuel","Motor Vehicles","No",10583,"08852",37783,"M1246",49
5,106,"Automotive Fuel","Motor Vehicles","No",10583,"06831",37783,"M1246",8
20.01,106,"Automotive Fuel","Motor Vehicles","No",10583,"06831",37783,"M1246",8
75.72,362,"Automotive Fuel","Motor Vehicles","No",10583,"11577",37783,"M1246",14
5,362,"Automotive Fuel","Motor Vehicles","No",10583,"11577",37783,"M1246",14
5,439,"Automotive Fuel","Motor Vehicles","No",10583,"07856",37783,"M1246",38
5,301,"Automotive Fuel","Motor Vehicles","No",10583,"07856",37783,"M1246",38
5,286,"Automotive Fuel","Motor Vehicles","No",10583,"08852",37783,"M1246",49
5,347,"Automotive Fuel","Motor Vehicles","No",10583,"06820",37783,"M1246",15
5,362,"Automotive Fuel","Motor Vehicles","No",10583,"11577",37783,"M1246",14
57.87,210,"Automotive Fuel","Motor Vehicles","No",10583,"10601",37783,"M1246",3
5,210,"Automotive Fuel","Motor Vehicles","No",10583,"10601",37783,"M1246",3
5,347,"Automotive Fuel","Motor Vehicles","No",10583,"06820",37783,"M1246",15
55.55,230,"Automotive Fuel","Motor Vehicles","No",10583,"06897",37783,"M1246",21
45.01,238,"Automotive Fuel","Motor Vehicles","No",10583,"06897",37783,"M1246",21
5,301,"Automotive Fuel","Motor Vehicles","No",10583,"07856",37783,"M1246",38
49.55,197,"Automotive Fuel","Motor Vehicles","No",10583,"07856",37783,"M1246",38
5,197,"Automotive Fuel","Motor Vehicles","No",10583,"07856",37783,"M1246",38
70.95,455,"Automotive Fuel","Motor Vehicles","No",10583,"10475",37783,"M1246",7
5,155,"Automotive Fuel","Motor Vehicles","No",10583,"10530",37783,"M1246",2
5,439,"Automotive Fuel","Motor Vehicles","No",10583,"07856",37783,"M1246",38
5,222,"Automotive Fuel","Motor Vehicles","No",10583,"06840",37783,"M1246",17
65.04,347,"Automotive Fuel","Motor Vehicles","No",10583,"06820",37783,"M1246",15
5,324,"Automotive Fuel","Motor Vehicles","No",10583,"11577",37783,"M1246",14
5,356,"Automotive Fuel","Motor Vehicles","No",10583,"06897",37783,"M1246",21
5,356,"Automotive Fuel","Motor Vehicles","No",10583,"06897",37783,"M1246",21
68.07,356,"Automotive Fuel","Motor Vehicles","No",10583,"06897",37783,"M1246",21
5,230,"Automotive Fuel","Motor Vehicles","No",10583,"06897",37783,"M1246",21
5,238,"Automotive Fuel","Motor Vehicles","No",10583,"06897",37783,"M1246",21
5,328,"Automotive Fuel","Motor Vehicles","No",10583,"11561",37783,"M1246",25
5,455,"Automotive Fuel","Motor Vehicles","No",10583,"10475",37783,"M1246",7
5,455,"Automotive Fuel","Motor Vehicles","No",10583,"10475",37783,"M1246",7
5,193,"Automotive Fuel","Motor Vehicles","No",10583,"10601",37783,"M1246",3
83.52,324,"Automotive Fuel","Motor Vehicles","No",10583,"11577",37783,"M1246",14
5,50,"Automotive Fuel","Motor Vehicles","No",10583,"06831",37783,"M1246",8
20,204,"Automotive Fuel","Motor Vehicles","No",10583,"06831",37783,"M1246",8
5,328,"Automotive Fuel","Motor Vehicles","No",10583,"11561",37783,"M1246",25
5,25,"Automotive Fuel","Motor Vehicles","No",10583,"21842",37783,"M1246",167
4.24,394,"Automotive Fuel","Motor Vehicles","No",10583,"10546",37783,"M1246",13
36.01,439,"Automotive Fuel","Motor Vehicles","No",10583,"07856",37783,"M1246",38
49,301,"Automotive Fuel","Motor Vehicles","No",10583,"07856",37783,"M1246",38
5,38,"Automotive Fuel","Motor Vehicles","No",10583,"10522",37783,"M1246",3
25,122,"Professional Sports Teams","Arts, Entertainment, Recreation","Yes",10583,"90064",37783,"M1276",2147
5.54,285,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
9.67,211,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
5.83,426,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
6.29,398,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
5.29,446,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
4.52,258,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
6.06,343,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
8.33,355,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
2.16,397,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
9.15,209,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
4.1,342,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
4.2,292,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
1.4,223,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
8.13,454,"Eating Places","Accommodations and Food Services","No",10583,"10604",37783,"M1334",4
